"geneNames","geneIDs","feature","id","pval","qval"
".","MSTRG.643","transcript","1988",0.000115850860132882,0.00805210405865198
".","MSTRG.139","transcript","341",0.000115882134412493,0.00805210405865198
".","MSTRG.6095","transcript","20738",0.000115913530537526,0.00805210405865198
".","MSTRG.7512","transcript","25431",0.000116412398724064,0.00806095663687453
".","MSTRG.11685","transcript","39161",0.00011671759095655,0.00806095663687453
".","MSTRG.4724","transcript","15934",0.000118365211252858,0.00812827774541291
".","MSTRG.12588","transcript","42887",0.000118374632881113,0.00812827774541291
".","MSTRG.12501","transcript","42661",0.000118844783628225,0.00813711109054514
".","MSTRG.7709","transcript","26082",0.00011939298225272,0.0081493692663564
".","MSTRG.1638","transcript","5476",0.000119707862644258,0.0081493692663564
".","MSTRG.5928","transcript","20106",0.00012073896049869,0.00817654150287032
".","MSTRG.3672","transcript","12309",0.000120793327276214,0.00817654150287032
".","MSTRG.12073","transcript","41086",0.000122942988624475,0.00829437024962188
".","MSTRG.9159","transcript","30703",0.000123230245870909,0.00829437024962188
".","MSTRG.6019","transcript","20484",0.000123896064530893,0.00831569444951432
".","MSTRG.7125","transcript","24173",0.000124753346564477,0.00834971345110053
".","MSTRG.7176","transcript","24343",0.000125200780458634,0.00835618766383158
".","MSTRG.6936","transcript","23515",0.000125709091369108,0.00836667743031214
".","MSTRG.1876","transcript","6166",0.000126369534230175,0.00838720582758324
".","MSTRG.3458","transcript","11523",0.000127975242380618,0.00845621004398832
".","MSTRG.12490","transcript","42639",0.000128119017328232,0.00845621004398832
".","MSTRG.13228","transcript","45304",0.000129563982882663,0.00850578084959722
".","MSTRG.10935","transcript","36715",0.000129789029197913,0.00850578084959722
".","MSTRG.13932","transcript","48057",0.00012996341370819,0.00850578084959722
".","MSTRG.8800","transcript","29514",0.000130609710332186,0.00850578084959722
".","MSTRG.10261","transcript","34341",0.00013065496247755,0.00850578084959722
".","MSTRG.624","transcript","1913",0.00013113677207599,0.00851388519960388
".","MSTRG.11475","transcript","38508",0.00013302020292083,0.00861269667118106
