"feature","id","pval","qval"
"gene","MSTRG.9602",3.64117938397301e-05,0.000923709717407891
"gene","MSTRG.801",3.65494171449265e-05,0.00092476740492675
"gene","MSTRG.12194",3.70113052251542e-05,0.000934002571650487
"gene","MSTRG.8062",3.76043755987432e-05,0.000945134453347341
"gene","MSTRG.318",3.76485093449563e-05,0.000945134453347341
"gene","MSTRG.7536",3.78739315337606e-05,0.00094832389606611
"gene","MSTRG.1079",3.95528648364785e-05,0.00098540125850368
"gene","MSTRG.8361",3.96810069719367e-05,0.00098540125850368
"gene","MSTRG.13179",3.97936768513629e-05,0.00098540125850368
"gene","MSTRG.10118",3.97943625704e-05,0.00098540125850368
"gene","MSTRG.12471",3.98658185494227e-05,0.00098540125850368
"gene","MSTRG.12192",4.01952410646889e-05,0.000991002874331459
"gene","MSTRG.1020",4.07981547316805e-05,0.00100330156023826
"gene","MSTRG.843",4.12014284272288e-05,0.00101064063623024
"gene","MSTRG.10343",4.14504240444646e-05,0.00101293460105394
"gene","MSTRG.4794",4.15051003543887e-05,0.00101293460105394
"gene","MSTRG.9033",4.1674810524972e-05,0.00101450801378972
"gene","MSTRG.6080",4.17807105497214e-05,0.00101452405465822
"gene","MSTRG.5136",4.21962681864674e-05,0.00102204026461695
"gene","MSTRG.8216",4.23106301167264e-05,0.00102224179028883
"gene","MSTRG.6330",4.24922691872887e-05,0.00102406368741366
"gene","MSTRG.6952",4.35628711548119e-05,0.00104452236346441
"gene","MSTRG.8222",4.36656438242977e-05,0.00104452236346441
"gene","MSTRG.14186",4.36662357340412e-05,0.00104452236346441
"gene","MSTRG.8702",4.42159768958561e-05,0.00105505449820805
"gene","MSTRG.3594",4.44109401126491e-05,0.0010570900313233
"gene","MSTRG.1465",4.50841964275694e-05,0.00106955779763022
"gene","MSTRG.3171",4.52528706158528e-05,0.00106955779763022
"gene","MSTRG.548",4.52675914349721e-05,0.00106955779763022
"gene","MSTRG.5296",4.60726670090672e-05,0.00108591811727973
"gene","MSTRG.12762",4.62545538850723e-05,0.00108754609622463
"gene","MSTRG.5200",4.75325984836683e-05,0.00111198269099856
"gene","MSTRG.5256",4.75833708555307e-05,0.00111198269099856
"gene","MSTRG.2178",4.7810434196438e-05,0.00111198269099856
"gene","MSTRG.12458",4.7852593734854e-05,0.00111198269099856
"gene","MSTRG.8952",4.7870624145685e-05,0.00111198269099856
"gene","MSTRG.2478",4.82305376008352e-05,0.00111764995786551
