"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison"
"25","FBgn0028978",998.103591719251,-0.645782321455085,0.108078838068793,-5.97510422016234,2.29943133418357e-09,3.99826493182666e-09,"OBvQTL"
"26","FBgn0020622",1846.41374850191,0.98255343933238,0.166884139229915,5.88763823732059,3.91753462211455e-09,6.74749084400346e-09,"OBvQTL"
"27","FBgn0015277",629.22574640189,-0.586617310679671,0.10574158636811,-5.54764999115416,2.89534749186728e-08,4.82634633580738e-08,"OBvQTL"
"28","FBgn0039209",1715.33287782286,-0.849398537798064,0.169733326402786,-5.00431209238426,5.60618672380809e-07,8.84255250833062e-07,"OBvQTL"
"29","FBgn0044048",237.261699828329,-4.53361497314467,0.97113012917755,-4.66839081286067,3.0356803612525e-06,4.60568314304581e-06,"OBvQTL"
"30","FBgn0267824",2011.76820225053,0.247394433094386,0.0550013632279443,4.49796911522174,6.86056604507529e-06,1.02141334728597e-05,"OBvQTL"
"31","FBgn0035437",1321.74999386371,0.269686852772191,0.0609226980244712,4.42670566992723,9.56831495652881e-06,1.41185104706281e-05,"OBvQTL"
"32","FBgn0037647",720.107298934703,-0.166253622618466,0.0586378090112627,-2.83526321023579,0.00457879441382545,0.0057685382311757,"OBvQTL"
"33","FBgn0001247",1851.77030251696,-0.304132375473339,0.114583529812713,-2.65424163464369,0.00794868843823213,0.00987561942627004,"OBvQTL"
"34","FBgn0037203",2519.89458779857,0.566615610892999,0.214215872178245,2.64506829083854,0.00816744317774493,0.0101423973610725,"OBvQTL"
"35","FBgn0026060",1368.46148178429,0.177471638195818,0.0733571381946072,2.41928246607724,0.015551159077067,0.0188938473838989,"OBvQTL"
"36","FBgn0014388",1047.80570967613,-3.20551534500994,0.141169011343653,-22.7069334445266,3.82628956237404e-114,4.7059995380049e-113,"OHvQTL"
"37","FBgn0261283",5782.78638635196,-1.88333879676426,0.089022976179009,-21.1556485482715,2.44799954621976e-99,2.58395388343431e-98,"OHvQTL"
"38","FBgn0014018",3315.9129923792,-2.27303435077173,0.110111651597864,-20.64299570288,1.12846968109568e-94,1.13951890269228e-93,"OHvQTL"
"39","FBgn0032264",1266.72293842942,-3.35858213670193,0.212423667550526,-15.8107718194964,2.62234393379196e-56,1.4148512596471e-55,"OHvQTL"
"40","FBgn0037203",2519.89458779857,3.22862299471574,0.216766922343019,14.8944449633633,3.5814639176148e-50,1.68016327410252e-49,"OHvQTL"
"41","FBgn0044048",237.261699828329,-12.9801184572818,0.87561488057016,-14.8240039603139,1.02488845393217e-49,4.75309492347016e-49,"OHvQTL"
"42","FBgn0003205",2248.8868180886,0.550537974289458,0.0382718830057487,14.3849199739339,6.43524973412545e-47,2.79008656632551e-46,"OHvQTL"
"43","FBgn0000499",1008.59482014153,0.873032509240557,0.0728882686489644,11.9776820800224,4.65147677604974e-33,1.4422099752651e-32,"OHvQTL"
"44","FBgn0267824",2011.76820225053,0.599965060891264,0.0558033405298019,10.7514183773792,5.83572459479348e-27,1.56556688383138e-26,"OHvQTL"
"45","FBgn0041191",2442.56537581148,-0.719637060017818,0.068310227431408,-10.5348362474773,5.96870662304608e-26,1.56487323882404e-25,"OHvQTL"
"46","FBgn0263395",1800.29531072146,-0.961971362143893,0.122744595783312,-7.83717894873447,4.60781163302108e-15,9.1199443081125e-15,"OHvQTL"
"47","FBgn0035438",4429.49076906024,-0.821599915991503,0.114995997778891,-7.1445957412469,9.02611286910378e-13,1.66960529431143e-12,"OHvQTL"
"48","FBgn0086779",1794.67658544958,0.709880968284369,0.0998610430169317,7.10868770080848,1.1715149476542e-12,2.15970711668646e-12,"OHvQTL"
"49","FBgn0020622",1846.41374850191,1.1701299895067,0.167258808427019,6.99592446287974,2.63515492804888e-12,4.80514772532044e-12,"OHvQTL"
"50","FBgn0039209",1715.33287782286,-1.01783425918462,0.169865998586185,-5.99198349084676,2.07296974563824e-09,3.40586384690785e-09,"OHvQTL"
"51","FBgn0015277",629.22574640189,-0.552023142761717,0.106131552125967,-5.20131037098677,1.97888313597915e-07,3.02053956288848e-07,"OHvQTL"
"52","FBgn0001247",1851.77030251696,-0.580197223559577,0.114563954686159,-5.06439591011844,4.0969741651393e-07,6.17564741173867e-07,"OHvQTL"
"53","FBgn0020660",3826.00925125306,-0.502793156648431,0.115048417016586,-4.37027444346276,1.24090475892823e-05,1.7663834909871e-05,"OHvQTL"
"54","FBgn0003165",3069.97491389261,0.775528749407114,0.17853510160198,4.34384466947039,1.40010529806689e-05,1.98693039254202e-05,"OHvQTL"
"55","FBgn0035437",1321.74999386371,0.250550487274956,0.0611103137076212,4.09997056264022,4.13202693972751e-05,5.75419623194814e-05,"OHvQTL"
"56","FBgn0003165",3069.97491389261,0.663730786097964,0.179566322758989,3.69629881538986,0.00021876546889479,0.0086731957126172,"CDRvQTL"
"57","FBgn0037647",720.107298934703,-0.219432878195052,0.0604149318104431,-3.63209676183267,0.000281127662135415,0.00999013790215849,"CDRvQTL"
"58","FBgn0041191",2442.56537581148,-0.284561723486207,0.0683989056022347,-4.16032568037039,3.17794097631008e-05,0.00214259211834501,"CHSvQTL"
"59","FBgn0041191",2442.56537581148,-0.281327768963218,0.0683366371386445,-4.11679270070676,3.84181331900268e-05,0.00396210616226981,"DRHSvQTL"
"60","FBgn0035437",1321.74999386371,-0.199777249738597,0.0625450975759895,-3.19413123460039,0.00140252343822699,0.0440063588522993,"DRHSvQTL"
