"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"65","FBgn0030993",724.684017848098,0.0334750983994736,0.100493276927201,40.7269462989553,1.43303229821032e-09,2.55410448842562e-07,"Mec2"
"66","FBgn0086254",11023.5554291643,-0.708891423307297,0.109924236140893,40.3956702596103,1.69118709789701e-09,2.96854583774801e-07,"CG6084"
"67","FBgn0250785",935.536394952716,0.346765450728856,0.0625165610039985,40.145762282628,1.91627787096387e-09,3.31344464703231e-07,"vari"
"68","FBgn0025628",2288.00821997944,0.333191280665696,0.0629424519711153,39.994925346781,2.06639008286689e-09,3.52046016323719e-07,"CG4199"
"69","FBgn0034761",1214.54266213462,0.177172393377098,0.0960017386004896,39.9125218658833,2.15330722406306e-09,3.61537162185081e-07,"CG4250"
"70","FBgn0052283",11.9183788981564,-0.149344845948742,0.389983451176415,39.8406934977074,2.23204696975061e-09,3.69403773493726e-07,"Drsl3"
"71","FBgn0259682",8386.20978894198,0.582751642526317,0.0975713275774602,39.4264482632921,2.74571552351976e-09,4.48015694929246e-07,"Jabba"
"72","FBgn0028482",1003.58767183847,0.702183957516406,0.124412605259613,39.1973977438923,3.07888329597399e-09,4.95400874775815e-07,"bdl"
"73","FBgn0039430",2939.84973152931,0.389383060715127,0.062419580917957,38.912397093522,3.55042491320587e-09,5.45180704397089e-07,"CG5455"
"74","FBgn0038321",702.218210453068,0.143800914639916,0.0614241644360011,38.8716048899508,3.62358327769709e-09,5.45180704397089e-07,"CG6218"
"75","FBgn0032387",386.691871477003,-1.28920006397169,0.20090259994617,38.8763527428799,3.61499135978335e-09,5.45180704397089e-07,"CG16965"
"76","FBgn0035410",308.983617004624,0.42444743925448,0.068943594652871,38.9705922437922,3.44860470205345e-09,5.45180704397089e-07,"CG14964"
"77","FBgn0050021",757.372015744955,0.40739725761927,0.0747556336219063,38.8458122794308,3.67061674086948e-09,5.45180704397089e-07,"metro"
"78","FBgn0031053",59.5393098252447,0.540640958256621,0.10210567142788,38.8953471510919,3.58082156459137e-09,5.45180704397089e-07,"CG14223"
"79","FBgn0037130",541.812170885307,0.397966909243957,0.0752044539472355,38.7498892062188,3.85095524780542e-09,5.64725525896529e-07,"Syn1"
"80","FBgn0039043",405.123286033173,0.290317910665858,0.0467406308848844,38.5953593027418,4.16029583353622e-09,5.95025027549594e-07,"CG17121"
"81","FBgn0033188",2882.0449065394,0.811638045858366,0.129379517863939,38.6152935533395,4.11903560817872e-09,5.95025027549594e-07,"Drat"
"82","FBgn0265356",1639.8441838427,0.492042622863094,0.0910258266960166,38.4271971281418,4.5252248787372e-09,6.39325978294761e-07,"tn"
"83","FBgn0030347",718.121955040182,0.169217986743884,0.0797720890343535,38.3803333005993,4.63251161586644e-09,6.46598157467623e-07,"CG15739"
"84","FBgn0004133",239.785322968227,0.362750466501328,0.0670718547825902,38.3317773312058,4.746356026617e-09,6.54601602004261e-07,"blow"
