"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0035870",15.1652600241549,-0.0516649047346542,0.648618378646196,-0.0796537786093725,0.936512621912029,0.999999592678844
"FBgn0036565",578.159879636176,0.00246828579612428,0.710703311723458,0.00347301856542455,0.997228937677961,0.999999592678844
"FBgn0028646",5872.01557560028,0.292706782250395,0.295006057927058,0.992206005216234,0.321097043682775,0.999999592678844
"FBgn0028863",568.186884082322,-0.774594524665446,1.06924212963209,-0.724433225364933,0.468799808066196,0.999999592678844
"FBgn0028644",213.849754864964,-0.330503431082441,1.09519967192104,-0.301774589196799,0.762823903190279,0.999999592678844
"FBgn0028645",192.802844988561,-0.336722488685731,0.953803102225832,-0.353031446322561,0.72406486568107,0.999999592678844
"FBgn0028648",379.230284109883,-0.134167541606948,0.178228270740019,-0.752784847487288,0.451579213632326,0.999999592678844
"FBgn0025549",1228.89394219699,-0.035550586249387,0.269081475011575,-0.132118297061727,0.894890723811878,0.999999592678844
"FBgn0262689",7.37431918287199,-0.250685943475536,1.1835659947025,-0.21180563196102,0.832258674538296,0.999999592678844
"FBgn0032478",81.7409549091973,0.12474700607443,0.746971269176942,0.167003753988936,0.867367095153278,0.999999592678844
"FBgn0032479",4241.89570102784,0.0534594706140718,0.213101217268381,0.250864219826321,0.801919088404914,0.999999592678844
"FBgn0262682",13.7231945492787,0.101663233301153,0.918934636038204,0.11063162635751,0.911908467214422,0.999999592678844
"FBgn0032477",671.044418546846,0.271642569970223,0.382377925809072,0.710403377484345,0.477454029328136,0.999999592678844
"FBgn0032474",1687.27284977814,0.121363566359146,0.176803187111438,0.686433136992327,0.492440014389927,0.999999592678844
"FBgn0032475",1635.81709099259,-0.0595624613441538,0.32981293075356,-0.180594681985527,0.856685730408435,0.999999592678844
"FBgn0262686",35.9435880142831,0.134697147425525,0.622814431107114,0.216271718666003,0.828775952632933,0.999999592678844
"FBgn0032473",7.73487716090044,0.235874138955359,1.4265852555853,0.165341775426233,0.868674979251823,0.999999592678844
"FBgn0039350",2597.86074408591,-0.0879598550712625,0.526430341807789,-0.167087358166332,0.867301312904544,0.999999592678844
"FBgn0025355",28.2480139458287,0.736087022257484,1.30591149597311,0.563657663269886,0.572987135301459,0.999999592678844
"FBgn0086898",312.938780398256,-0.180159608424992,0.259867801478195,-0.693274070124109,0.48813757236907,0.999999592678844
"FBgn0086895",749.089723947618,-0.182927578000329,0.296529900608661,-0.616894207379591,0.537304507823033,0.999999592678844
"FBgn0036567",8.83223542117278,-0.347425527455414,1.32954258299199,-0.26131207221176,0.793851857636035,0.999999592678844
"FBgn0031412",19.5413472513463,0.261527274209174,1.06804423293144,0.244865583414429,0.806560511005209,0.999999592678844
"FBgn0003048",1114.05079159168,-0.0114662445015118,0.138528393429991,-0.0827718001891548,0.934032992352145,0.999999592678844
"FBgn0003511",285.210764274938,0.00952961720170587,0.313517039670236,0.0303958509295997,0.975751353806996,0.999999592678844
"FBgn0003510",111.997425399237,-0.13603003448784,0.387802815053338,-0.350771137308868,0.725760052134677,0.999999592678844
"FBgn0003513",111.2392806482,-0.0453831029634502,1.61561744694261,-0.0280902530789903,0.977590167923652,0.999999592678844
"FBgn0003512",515.174066945263,0.0772294716115119,0.171232331680086,0.451021549807545,0.651974017484567,0.999999592678844
"FBgn0003515",429.761596333714,0.201751540574717,0.754744025195798,0.267311212596056,0.789229554384897,0.999999592678844
"FBgn0003514",2326.9315982652,0.105024291610442,0.115943815362504,0.90582055870836,0.365030837538488,0.999999592678844
"FBgn0003041",1442.70120024621,-0.0937731612710069,0.581628578384719,-0.16122516113536,0.871916064626949,0.999999592678844
"FBgn0042627",6251.19202566299,-0.0937708648638846,1.28700775998974,-0.0728595955510264,0.941917846529096,0.999999592678844
"FBgn0042199",2.44642060135094,-0.82025962106982,1.54544750714107,-0.530758642580633,0.595586042782489,0.999999592678844
"FBgn0053465",2.64234990387791,2.09479959914964,1.97358753216037,1.06141712237946,0.288500378908818,0.999999592678844
"FBgn0053467",2.74184260108348,1.22760561177154,1.47089845617833,0.834595757861551,0.403945351458462,0.999999592678844
"FBgn0053460",99.227066253583,0.462958452001704,0.767750910637307,0.60300606041275,0.546504657543291,0.999999592678844
"FBgn0046756",3.35431106152235,0.766610713327331,1.43374422697454,0.534691403741529,0.592863266708407,0.999999592678844
"FBgn0035293",1362.68665598494,0.193014675698668,1.22195187302878,0.157956037352154,0.874491440842347,0.999999592678844
"FBgn0267554",25.8752116021187,-1.58641912328261,1.26875745451356,-1.2503722580222,0.21116359379586,0.999999592678844
"FBgn0035290",1669.49152016581,-0.079510098341507,0.780382478998791,-0.101886062900228,0.918847112584065,0.999999592678844
"FBgn0053468",35.2151411749804,-0.0391674961166287,0.78933939661331,-0.0496206020942048,0.960424728756845,0.999999592678844
"FBgn0053469",24.6338171384984,0.133083429403349,0.62066442519591,0.214420907660917,0.830218838840006,0.999999592678844
"FBgn0035295",227.766181264554,-0.207336652805596,0.509682202542856,-0.406795944161229,0.684157865851695,0.999999592678844
"FBgn0035294",461.602073016263,0.0551535317994168,0.157264189393023,0.350706235235673,0.725808747283023,0.999999592678844
"FBgn0263087",7.41168528553219,0.4785932026544,0.783050908827795,0.611190405705346,0.541073534298191,0.999999592678844
"FBgn0032228",106.649014104726,0.0176630371665263,1.06435193813851,0.0165951096940903,0.986759625921064,0.999999592678844
"FBgn0263083",923.972662694358,0.181629890674202,1.01749746666154,0.178506479500277,0.858325233014766,0.999999592678844
"FBgn0263081",970.203143079317,0.363806995000138,1.50380608905668,0.241924140118591,0.808838944530853,0.999999592678844
"FBgn0035204",789.453559391742,0.132791291376831,0.108816840992114,1.22031930137041,0.222343855690369,0.999999592678844
"FBgn0052594",600.367433537748,0.0105342778424847,0.215856776694884,0.0488021641191051,0.961076957513787,0.999999592678844
"FBgn0052591",6.88137650126823,0.437821672791887,1.05664831865805,0.414349471873407,0.678618187735646,0.999999592678844
"FBgn0052590",132.185680398687,-0.114165558583954,0.136451497557044,-0.836675013670895,0.402775267635551,0.999999592678844
"FBgn0039092",19.1894290183027,1.0801993981171,2.33705421258416,0.462205537338687,0.643933932697632,0.999999592678844
"FBgn0035206",1468.17762909705,0.225141086075019,0.0758854025874496,2.9668563175318,0.00300861521730679,0.550134209221671
"FBgn0039417",585.227649906918,-0.123775498577987,0.319976432319062,-0.386826922473355,0.698884344600816,0.999999592678844
"FBgn0261020",877.358131627432,0.102959644503108,0.201474909325723,0.511029610821933,0.609330322656605,0.999999592678844
"FBgn0039943",977.986608118854,-0.0362010864819798,0.22956745307858,-0.157692590985833,0.874699038982272,0.999999592678844
"FBgn0032222",1453.09875825901,0.0779274473727208,0.117504848762971,0.663184951030528,0.507212108460916,0.999999592678844
"FBgn0039941",428.073437650442,0.122699985307059,0.694748768713299,0.1766105833254,0.859814280477124,0.999999592678844
"FBgn0030341",1466.35038802329,0.219758774157796,0.0975893006332653,2.2518736452845,0.024330258032486,0.999999592678844
"FBgn0036035",637.481422161232,-0.4120258698096,0.302506021182439,-1.36204188002298,0.173184668603362,0.999999592678844
"FBgn0038404",131.238229598082,0.385626623571205,1.3583846457282,0.283886176705479,0.776497610267353,0.999999592678844
"FBgn0038401",693.045852303306,-0.109813576816062,0.376982982015437,-0.291295846377396,0.770825063889231,0.999999592678844
"FBgn0035120",391.926604951651,0.0830501470619587,0.492051330134814,0.168783502808953,0.865966934999178,0.999999592678844
"FBgn0263556",6.7288088676577,-0.252367516968135,1.15194334941253,-0.219079798582836,0.826587886930613,0.999999592678844
"FBgn0039945",377.936271535894,0.918084729129614,0.765162100921614,1.19985651148144,0.230195072179917,0.999999592678844
"FBgn0032224",1111.23075645084,-0.111157007927527,0.143522524510592,-0.774491727389612,0.438640058410622,0.999999592678844
"FBgn0004430",3.43275590724295,-0.483550156530243,1.02775749473161,-0.470490518443282,0.638004606752352,0.999999592678844
"FBgn0029502",789.734375399778,0.0111281938132048,0.129434256842006,0.0859756457425982,0.931485777407102,0.999999592678844
"FBgn0266692",14.8095367482602,0.340650850641376,1.12624229817244,0.302466752664283,0.762296274746133,0.999999592678844
"FBgn0266694",2569.1795569726,-0.240870621377922,0.337687686868217,-0.713294060591324,0.475663812009387,0.999999592678844
"FBgn0266697",16.538074170265,-0.423630492134633,0.490380693810322,-0.863880853144868,0.387653345948655,0.999999592678844
"FBgn0266696",5383.34483750645,-0.0364570107659552,0.252218177449732,-0.144545532501206,0.885069704203125,0.999999592678844
"FBgn0031972",298.014460821109,0.210420314977764,0.110702118852611,1.90077947160088,0.0573309040231255,0.999999592678844
"FBgn0031970",258.445290886362,0.218533254038905,1.14720250649523,0.190492308726327,0.848923369590773,0.999999592678844
"FBgn0031976",10.8093417801109,-1.02393031662348,1.41378484861191,-0.724247623412293,0.46891372601734,0.999999592678844
"FBgn0031977",1324.19202707032,0.0707727788292497,0.256951575875453,0.275432359533587,0.78298408581972,0.999999592678844
"FBgn0031974",399.515078844225,0.0427390693442626,0.274576129828197,0.155654715400805,0.876305193858876,0.999999592678844
"FBgn0060296",518.932041410648,0.0376442817860657,0.424713722899788,0.0886344842569356,0.929372401454248,0.999999592678844
"FBgn0034184",1680.75931752697,0.00144768986334236,0.311107680109132,0.00465334016451966,0.996287185125856,0.999999592678844
"FBgn0034186",354.939632677704,0.126186357711141,0.345648092413628,0.365071760789981,0.715057839885126,0.999999592678844
"FBgn0038749",157.861202715123,-0.28726671145181,2.87610667559704,-0.099880409127098,0.920439269816746,0.999999592678844
"FBgn0034180",1910.59317132574,-0.0140939773205876,0.436503472609202,-0.0322883509639472,0.974242098946586,0.999999592678844
"FBgn0034181",2904.54190934648,0.0171172188254269,0.256388581255108,0.0667627970857064,0.946770540924814,0.999999592678844
"FBgn0034182",175.949657232981,-0.106266781008443,0.704511550867534,-0.150837528323824,0.880103881615771,0.999999592678844
"FBgn0034183",4.41973667044028,1.35464688376205,2.22810676142434,0.607981137715357,0.543199984126286,0.999999592678844
"FBgn0038742",1744.01933822767,0.302698946527649,0.138973556718087,2.17810462418893,0.029398248414587,0.999999592678844
