"","Gene","symbol","annotation_ID","pathway","baseMean","lfcSE","stat","pvalue","padj","FC_DR_B","FC_HS_B","FC_DRHS_B","FC_DR_H","FC_HS_H","FC_DRHS_H","FC_DR_O","FC_HS_O","FC_DRHS_O"
"18","FBgn0003997","hid","CG5123","TOR",285.371862077848,0.0732279763729353,12.9153005228942,0.00156847689441857,0.013386258318762,-0.178756121122568,0.111974329967194,-0.290730451089762,0.156825354336135,0.420996473788197,-0.264171119452063,0.184590368563188,0.222600502127453,-0.0380101335642653
"19","FBgn0267339","p38c","CG33338","FOXO",145.560935139171,0.138454678481801,12.7477420422368,0.00170554423269418,0.0140299446554793,0.739463648326463,0.467595113328164,0.271868534998299,0.478935638084559,0.524188997680359,-0.0452533595958,0.0239363311586955,0.0643297000369558,-0.0403933688782604
"20","FBgn0003651","svp","CG11502","TOR",1400.16214175197,0.151118310489464,12.7270017206514,0.00172332302577008,0.0141361203958398,-0.0967933810200665,0.337231724065759,-0.434025105085825,-0.0220651554872857,-0.0462954574813231,0.0242303019940374,1.18617141058845,2.00214518130049,-0.815973770712034
"21","FBgn0044048","Ilp5","CG33273","FOXO",237.261699828329,0.234814446553036,12.7102798239752,0.00173779204362527,0.0141946180509209,-2.24136052884098,-1.06053175708039,-1.18082877176058,-0.669156399015801,-0.583837855515931,-0.0853185434998698,0,0,0
"22","FBgn0044048","Ilp5","CG33273","IIS",237.261699828329,0.234814446553036,12.7102798239752,0.00173779204362527,0.0141946180509209,-2.24136052884098,-1.06053175708039,-1.18082877176058,-0.669156399015801,-0.583837855515931,-0.0853185434998698,0,0,0
"23","FBgn0025725","alphaCOP","CG7961","FOXO",2915.41154758186,0.0427467770692192,12.1313719525936,0.00232116520396645,0.0174267558359887,0.189119784948356,-0.00961636792463633,0.198736152872992,0.0322426815821802,-0.0822435918188863,0.114486273401066,0.076985515776991,-0.044032865320947,0.121018381097938
"24","FBgn0004395","unk","CG4620","TOR",1179.30936281404,0.0732045762655431,11.9246475986116,0.00257392373480302,0.0188213655714325,-0.151861357538052,0.345308668237899,-0.497170025775951,0.123925570493106,0.294676424585911,-0.170750854092804,0.255478118428887,0.093834327482748,0.161643790946139
"25","FBgn0027518","Wdr24","CG7609","TOR",475.903031590245,0.0342475943193861,11.6625761819346,0.00293429490615477,0.0206414308943869,-0.136511364201221,0.0207207147863548,-0.157232078987576,-0.0676661129657281,0.0785352940097203,-0.146201406975448,-0.0541344269180197,0.0179975679720485,-0.0721319948900682
"26","FBgn0023169","AMPKalpha","CG3051","FOXO",3208.12456640606,0.0392748525449232,11.6589800304138,0.00293957573694355,0.0206660542572403,0.0919558198953761,0.178171505093228,-0.0862156851978521,0.0434066907895665,0.104911693587902,-0.0615050027983352,0.158513210525649,0.102851686240747,0.0556615242849023
"27","FBgn0023169","AMPKalpha","CG3051","TOR",3208.12456640606,0.0392748525449232,11.6589800304138,0.00293957573694355,0.0206660542572403,0.0919558198953761,0.178171505093228,-0.0862156851978521,0.0434066907895665,0.104911693587902,-0.0615050027983352,0.158513210525649,0.102851686240747,0.0556615242849023
