gene_symbol,organism_abbreviation,primary_FBgn,secondary_FBgn,annotation_ID,secondary_annotation_IDs
CG5500,Dmel,FBgn0039461,,CG5500,
dj-1beta,Dmel,FBgn0039802,,CG1349,
cindr,Dmel,FBgn0027598,"FBgn0039803,FBgn0051012",CG31012,"CG11316,CG1408"
CG15544,Dmel,FBgn0039804,,CG15544,
tll,Dmel,FBgn0003720,,CG1378,
CG13315,Dmel,FBgn0040827,FBgn0064815,CG13315,
CG15545,Dmel,FBgn0039806,,CG15545,
wts,Dmel,FBgn0011739,FBgn0013549,CG12072,
Naam,Dmel,FBgn0051216,"FBgn0038728,FBgn0038729,FBgn0046372,FBgn0046373",CG31216,"CG7500,CG7444"
sol,Dmel,FBgn0003464,FBgn0031175,CG1391,
CG5590,Dmel,FBgn0039537,,CG5590,
CG12880,Dmel,FBgn0046258,FBgn0039539,CG12880,
CG31055,Dmel,FBgn0051055,"FBgn0046009,FBgn0046104,FBgn0063715,FBgn0065017",CG31055,
CG14194,Dmel,FBgn0030996,,CG14194,
CG4511,Dmel,FBgn0037843,,CG4511,
CG4570,Dmel,FBgn0037844,,CG4570,
Tsp86D,Dmel,FBgn0037848,,CG4591,
CG12910,Dmel,FBgn0033502,,CG12910,
CG5521,Dmel,FBgn0039466,FBgn0044456,CG5521,
CG4596,Dmel,FBgn0037849,,CG4596,
Tpc1,Dmel,FBgn0037852,,CG6608,
Lgr3,Dmel,FBgn0039354,"FBgn0039353,FBgn0046546,FBgn0046547,FBgn0051096",CG31096,"CG5046,CG5042"
Tsp97E,Dmel,FBgn0039465,,CG6323,
CAP,Dmel,FBgn0033504,"FBgn0033503,FBgn0033505",CG18408,"CG18409,CG3451"
Ssadh,Dmel,FBgn0039349,FBgn0062014,CG4685,
Npl4,Dmel,FBgn0039348,,CG4673,
LpR2,Dmel,FBgn0051092,"FBgn0039361,FBgn0039362",CG31092,"CG4823,CG4834"
CG14764,Dmel,FBgn0033236,FBgn0033239,CG14764,CG2923
CG1138,Dmel,FBgn0037456,,CG1138,
CG3726,Dmel,FBgn0029824,,CG3726,
CG6126,Dmel,FBgn0038407,,CG6126,
CG13605,Dmel,FBgn0039150,,CG13605,
ARY,Dmel,FBgn0058064,,CG40064,
NAAT1,Dmel,FBgn0029762,FBgn0045954,CG3252,
CG31482,Dmel,FBgn0051482,FBgn0037457,CG31482,CG2337
CG15185,Dmel,FBgn0037449,,CG15185,
CG6330,Dmel,FBgn0039464,,CG6330,
CG12909,Dmel,FBgn0033507,,CG12909,
Cdep,Dmel,FBgn0265082,"FBgn0051536,FBgn0037286,FBgn0037287,FBgn0062431,FBgn0063301,FBgn0085335",CG44193,"CG31536,CG34306,CG2008,CG1283"
cnc,Dmel,FBgn0262975,"FBgn0000338,FBgn0010824,FBgn0039062,FBgn0039063,FBgn0045881,FBgn0045892,FBgn0040590,FBgn0047182",CG43286,"CG17894,CG13826,CG4578,CG4566"
CG4467,Dmel,FBgn0039064,FBgn0040592,CG4467,CG13825
CG30380,Dmel,FBgn0050380,,CG30380,
l(2)k14710,Dmel,FBgn0021847,FBgn0027519,CG8325,
CG8728,Dmel,FBgn0033235,,CG8728,
Brd8,Dmel,FBgn0039654,,CG14514,
Dll,Dmel,FBgn0000157,"FBgn0010474,FBgn0026807,FBgn0063133",CG3629,
rnh1,Dmel,FBgn0023171,"FBgn0020291,FBgn0022077,FBgn0024594",CG8729,
CG31145,Dmel,FBgn0051145,"FBgn0039095,FBgn0039096,FBgn0039097",CG31145,"CG13820,CG13821,CG10187"
CG44249,Dmel,FBgn0265184,"FBgn0259142,FBgn0034686,FBgn0050327",CG44249,"CG42257,CG30327,CG11478"
CG44250,Dmel,FBgn0265185,FBgn0033786,CG44250,CG3884
CG44251,Dmel,FBgn0265186,FBgn0033786,CG44251,CG3884
CG6567,Dmel,FBgn0037842,,CG6567,
Kdm4A,Dmel,FBgn0033233,,CG15835,
CG12159,Dmel,FBgn0033232,,CG12159,
CG14985,Dmel,FBgn0035482,,CG14985,
Syx1A,Dmel,FBgn0013343,"FBgn0010900,FBgn0023459,FBgn0039148,FBgn0042210,FBgn0066005",CG31136,"CG10716,CG5448,CG18615"
Baldspot,Dmel,FBgn0260960,"FBgn0036650,FBgn0010775,FBgn0011458,FBgn0013626,FBgn0045248,FBgn0045250,FBgn0027947",CG3971,
CG10904,Dmel,FBgn0034945,,CG10904,
CG44253,Dmel,FBgn0265188,FBgn0050194,CG44253,CG30194
hyd,Dmel,FBgn0002431,FBgn0002317,CG9484,
CG11836,Dmel,FBgn0039272,,CG11836,
CG1907,Dmel,FBgn0039674,,CG1907,
CG34213,Dmel,FBgn0085242,,CG34213,
CG8149,Dmel,FBgn0037700,,CG8149,
RhoL,Dmel,FBgn0014380,"FBgn0019864,FBgn0020619",CG9366,
Gnf1,Dmel,FBgn0004913,"FBgn0010351,FBgn0020380,FBgn0025510",CG1119,
CG11920,Dmel,FBgn0039274,,CG11920,
MED31,Dmel,FBgn0037262,FBgn0064932,CG1057,
slx1,Dmel,FBgn0037263,,CG18271,
Prx3,Dmel,FBgn0038519,,CG5826,
Fs(2)Ket,Dmel,FBgn0262743,"FBgn0000986,FBgn0000984,FBgn0000989,FBgn0004812,FBgn0005392,FBgn0086557",CG2637,
CG9775,Dmel,FBgn0037261,,CG9775,
fd96Ca,Dmel,FBgn0004897,,CG11921,
olf186-F,Dmel,FBgn0041585,"FBgn0021911,FBgn0034280,FBgn0064926",CG11430,
CG17994,Dmel,FBgn0033072,,CG17994,
CG5823,Dmel,FBgn0038515,,CG5823,
CG10184,Dmel,FBgn0039094,,CG10184,
CG10182,Dmel,FBgn0039091,,CG10182,
Ptr,Dmel,FBgn0262867,"FBgn0033068,FBgn0064144",CG11212,
olf186-M,Dmel,FBgn0015522,,CG14489,
CG30323,Dmel,FBgn0050323,,CG30323,
CG14694,Dmel,FBgn0037845,,CG14694,
ort,Dmel,FBgn0003011,"FBgn0016658,FBgn0038726",CG7411,
CG14490,Dmel,FBgn0034281,,CG14490,
fd96Cb,Dmel,FBgn0004898,,CG11922,
CG11391,Dmel,FBgn0038732,,CG11391,
CG33203,Dmel,FBgn0053203,"FBgn0039608,FBgn0039610,FBgn0039615,FBgn0051046",CG33203,"CG14525,CG14524,CG14522,CG31046"
CG11407,Dmel,FBgn0038733,,CG11407,
CG11453,Dmel,FBgn0038734,,CG11453,
CG17221,Dmel,FBgn0031500,,CG17221,
lms,Dmel,FBgn0034520,,CG13424,
CG6300,Dmel,FBgn0038730,,CG6300,
CG34286,Dmel,FBgn0085315,,CG34286,
srp,Dmel,FBgn0003507,"FBgn0010376,FBgn0010753,FBgn0011478",CG3992,
His4r,Dmel,FBgn0013981,FBgn0064800,CG3379,
put,Dmel,FBgn0003169,"FBgn0000467,FBgn0004912,FBgn0004920,FBgn0010942,FBgn0011375",CG7904,
CR33013,Dmel,FBgn0053013,"FBgn0033719,FBgn0050041",CR33013,"CG30041,CG13161,CG33013"
Fbp1,Dmel,FBgn0000639,,CG17285,
CG7246,Dmel,FBgn0030081,,CG7246,
CG13917,Dmel,FBgn0035237,,CG13917,
CG6762,Dmel,FBgn0030876,,CG6762,
CG6769,Dmel,FBgn0030878,,CG6769,
Dic4,Dmel,FBgn0036808,,CG18363,
Arp8,Dmel,FBgn0030877,,CG7846,
daw,Dmel,FBgn0031461,,CG16987,
cad,Dmel,FBgn0000251,FBgn0082204,CG1759,
CG8419,Dmel,FBgn0031999,,CG8419,
CG13926,Dmel,FBgn0035243,,CG13926,
CG1074,Dmel,FBgn0037250,FBgn0062105,CG1074,
Cyp4p2,Dmel,FBgn0033395,,CG1944,
CG1688,Dmel,FBgn0027589,"FBgn0043917,FBgn0043919,FBgn0043920,FBgn0043921,FBgn0043954",CG1688,
Gr23a,Dmel,FBgn0041248,FBgn0031445,CG15396,
CG31690,Dmel,FBgn0051690,"FBgn0031447,FBgn0031448",CG31690,"CG15397,CG11542"
alph,Dmel,FBgn0086361,"FBgn0084988,FBgn0043570,FBgn0039672",CG1906,
CG15398,Dmel,FBgn0031446,,CG15398,
CG34212,Dmel,FBgn0085241,,CG34212,
Cyp4p1,Dmel,FBgn0015037,"FBgn0033396,FBgn0044596",CG10842,
CG17327,Dmel,FBgn0038107,,CG17327,
CG6028,Dmel,FBgn0038924,,CG6028,
CG14591,Dmel,FBgn0033054,,CG14591,
mRpL35,Dmel,FBgn0038923,FBgn0063031,CG13410,
CG7914,Dmel,FBgn0030995,,CG7914,
Cyp4p3,Dmel,FBgn0033397,,CG10843,
CG14650,Dmel,FBgn0037252,,CG14650,
CG30343,Dmel,FBgn0050343,FBgn0047277,CG30343,
how,Dmel,FBgn0264491,"FBgn0028068,FBgn0082187,FBgn0017397,FBgn0011379,FBgn0011385,FBgn0015249,FBgn0020779,FBgn0025731,FBgn0025956",CG10293,
SCAP,Dmel,FBgn0033052,FBgn0033053,CG33131,"CG8356,CG14592"
CG12728,Dmel,FBgn0029825,,CG12728,
hig,Dmel,FBgn0010114,,CG2040,
Hr96,Dmel,FBgn0015240,,CG11783,
Fip1,Dmel,FBgn0037255,FBgn0025996,CG1078,
CG14651,Dmel,FBgn0037254,,CG14651,
beta4GalT7,Dmel,FBgn0039258,,CG11780,
Bili,Dmel,FBgn0039282,,CG11848,
CG44195,Dmel,FBgn0265084,,CG44195,
CG31115,Dmel,FBgn0051115,,CG31115,
bai,Dmel,FBgn0045866,"FBgn0039262,FBgn0061395",CG11785,
slo,Dmel,FBgn0003429,FBgn0046797,CG10693,
alpha-Man-IIa,Dmel,FBgn0011740,"FBgn0037691,FBgn0042203",CG18802,"CG8139,CG18474"
Mst84Da,Dmel,FBgn0004172,,CG17946,
CG11790,Dmel,FBgn0039265,,CG11790,
Orc2,Dmel,FBgn0015270,"FBgn0001009,FBgn0002365",CG3041,
CG14598,Dmel,FBgn0037503,,CG14598,
CG10750,Dmel,FBgn0032769,,CG10750,
Cyp6d5,Dmel,FBgn0038194,,CG3050,
CG3061,Dmel,FBgn0038195,,CG3061,
CG9922,Dmel,FBgn0038196,"FBgn0045152,FBgn0047091",CG9922,
rdx,Dmel,FBgn0264493,"FBgn0011366,FBgn0011314,FBgn0010801,FBgn0004722,FBgn0002364,FBgn0061865,FBgn0044329,FBgn0038193,FBgn0038192,FBgn0026625,FBgn0086364,FBgn0262907,FBgn0028076",CG12537,"CG9924,CG10235"
mld,Dmel,FBgn0263490,"FBgn0083077,FBgn0033118,FBgn0039211,FBgn0051312,FBgn0053343,FBgn0002416",CG34100,"CG33343,CG13620,CG9469,CG31312"
CG31050,Dmel,FBgn0051050,FBgn0045120,CG31050,
CG13086,Dmel,FBgn0032770,,CG13086,
Arp1,Dmel,FBgn0011745,FBgn0026240,CG6174,
Map205,Dmel,FBgn0002645,,CG1483,
CG9988,Dmel,FBgn0039591,,CG9988,
atl,Dmel,FBgn0039213,,CG6668,
CG15695,Dmel,FBgn0038832,,CG15695,
CG11791,Dmel,FBgn0039266,,CG11791,
CG10011,Dmel,FBgn0039590,,CG10011,
CG11975,Dmel,FBgn0037648,,CG11975,
mod,Dmel,FBgn0002780,FBgn0011255,CG2050,
CG17349,Dmel,FBgn0032771,FBgn0044669,CG17349,
krz,Dmel,FBgn0040206,"FBgn0028053,FBgn0039888",CG1487,
CG17350,Dmel,FBgn0032772,,CG17350,
hth,Dmel,FBgn0001235,"FBgn0010875,FBgn0011583,FBgn0015762,FBgn0016022,FBgn0025968",CG17117,
CG8492,Dmel,FBgn0035813,,CG8492,
CG17549,Dmel,FBgn0032774,,CG17549,
TotC,Dmel,FBgn0044812,FBgn0051508,CG31508,
pros,Dmel,FBgn0004595,"FBgn0010941,FBgn0011397,FBgn0011437,FBgn0011497,FBgn0011499,FBgn0011504,FBgn0011507,FBgn0011515,FBgn0011524,FBgn0020281,FBgn0024917,FBgn0026852,FBgn0044730,FBgn0063172",CG17228,
mRpL40,Dmel,FBgn0037892,,CG5242,
CG11980,Dmel,FBgn0037652,FBgn0062091,CG11980,
KP78b,Dmel,FBgn0026063,FBgn0022392,CG17216,
gw,Dmel,FBgn0051992,"FBgn0027730,FBgn0039917,FBgn0039918",CG31992,"CG9905,CG11484"
KP78a,Dmel,FBgn0026064,FBgn0022392,CG6715,
Eip93F,Dmel,FBgn0264490,"FBgn0013948,FBgn0038920,FBgn0066001,FBgn0013585",CG18389,
CG31997,Dmel,FBgn0051997,"FBgn0043807,FBgn0047106",CG31997,
Hcf,Dmel,FBgn0039904,FBgn0046383,CG1710,
ash2,Dmel,FBgn0000139,FBgn0060470,CG6677,
Syt7,Dmel,FBgn0039900,FBgn0039901,CG2381,CG10322
CG11982,Dmel,FBgn0037653,,CG11982,
Act42A,Dmel,FBgn0000043,,CG12051,
fon,Dmel,FBgn0032773,,CG15825,
TotB,Dmel,FBgn0038838,FBgn0063107,CG5609,
CG6695,Dmel,FBgn0039215,,CG6695,
Smg6,Dmel,FBgn0039260,,CG6369,
CG11983,Dmel,FBgn0037654,,CG11983,
CG11781,Dmel,FBgn0039259,FBgn0063030,CG11781,
CG43222,Dmel,FBgn0262858,,CG43222,
5-HT7,Dmel,FBgn0004573,,CG12073,
TotZ,Dmel,FBgn0044809,FBgn0051507,CG31507,
Pur-alpha,Dmel,FBgn0022361,,CG1507,
CR44028,Dmel,FBgn0264820,,CR44028,
CG31125,Dmel,FBgn0051125,FBgn0062423,CG31125,
PQBP1,Dmel,FBgn0039270,,CG11820,
CG4238,Dmel,FBgn0031384,,CG4238,
veli,Dmel,FBgn0039269,FBgn0064161,CG7662,
CG31109,Dmel,FBgn0051109,"FBgn0039267,FBgn0047157",CG31109,CG13649
tgo,Dmel,FBgn0264075,"FBgn0015014,FBgn0003147,FBgn0011605",CG11987,
5PtaseI,Dmel,FBgn0259178,"FBgn0051107,FBgn0039263,FBgn0051110,FBgn0064867",CG42283,"CG31110,CG31107,CG7613"
bip2,Dmel,FBgn0026262,,CG2009,
CG31100,Dmel,FBgn0051100,"FBgn0037649,FBgn0037651",CG31100,"CG11978,CG11976"
RpS5a,Dmel,FBgn0002590,,CG8922,
Wsck,Dmel,FBgn0046685,"FBgn0046778,FBgn0051127,FBgn0064782",CG31127,
dnt,Dmel,FBgn0024245,,CG17559,
Hil,Dmel,FBgn0050147,"FBgn0034525,FBgn0034526",CG30147,"CG13435,CG10439"
CG5597,Dmel,FBgn0034920,,CG5597,
NKAIN,Dmel,FBgn0085442,"FBgn0061524,FBgn0052836,FBgn0035075",CG34413,"CG9047,CG32836"
CG31814,Dmel,FBgn0051814,FBgn0028849,CG31814,
CG5966,Dmel,FBgn0029831,,CG5966,
fs(1)M3,Dmel,FBgn0005390,"FBgn0000816,FBgn0004681,FBgn0029829",CG4790,
CG13430,Dmel,FBgn0034518,FBgn0053008,CG13430,CG33008
CG9596,Dmel,FBgn0031832,,CG9596,
CG32756,Dmel,FBgn0052756,FBgn0047202,CG32756,
qsm,Dmel,FBgn0028622,"FBgn0034522,FBgn0040727,FBgn0043360,FBgn0044465",CG13432,CG13433
CG6041,Dmel,FBgn0029826,,CG6041,
Bsg25D,Dmel,FBgn0000228,,CG14025,
LanB1,Dmel,FBgn0261800,"FBgn0002527,FBgn0259294",CG7123,
Mgat1,Dmel,FBgn0034521,,CG13431,
mts,Dmel,FBgn0004177,"FBgn0010514,FBgn0010703,FBgn0031953",CG7109,
CG5339,Dmel,FBgn0034925,,CG5339,
CG18065,Dmel,FBgn0034519,FBgn0053008,CG18065,CG33008
CG13247,Dmel,FBgn0036979,,CG13247,
Prosalpha4,Dmel,FBgn0004066,,CG3422,
eas,Dmel,FBgn0000536,"FBgn0043963,FBgn0044449",CG3525,
CG13423,Dmel,FBgn0034513,,CG13423,
MTF-1,Dmel,FBgn0040305,"FBgn0035991,FBgn0062029",CG3743,
CG13428,Dmel,FBgn0034515,,CG13428,
scrib,Dmel,FBgn0263289,"FBgn0261263,FBgn0026178,FBgn0011401,FBgn0016016,FBgn0016937,FBgn0026234,FBgn0028155,FBgn0028975,FBgn0039432,FBgn0069188,FBgn0039433,FBgn0051082",CG43398,"CG5467,CG5462,CG42614,CG31082"
CG14443,Dmel,FBgn0029880,,CG14443,
Syx18,Dmel,FBgn0039212,,CG13626,
CG34425,Dmel,FBgn0085454,"FBgn0084028,FBgn0037257",CG34425,"CG12584,CG41467"
E(var)3-9,Dmel,FBgn0260243,"FBgn0013255,FBgn0022347",CG11971,
Sam-S,Dmel,FBgn0005278,"FBgn0011287,FBgn0031218",CG2674,
CG33172,Dmel,FBgn0053172,FBgn0030689,CG33172,CG8473
CG34417,Dmel,FBgn0085446,"FBgn0046226,FBgn0029876,FBgn0029875",CG34417,"CG3960,CG3950"
sala,Dmel,FBgn0003313,FBgn0061400,CG4922,
CG42655,Dmel,FBgn0261507,,CG42655,
hyx,Dmel,FBgn0037657,,CG11990,
Cpr57A,Dmel,FBgn0034517,,CG18066,
CG43355,Dmel,FBgn0263087,,CG43355,
CG14537,Dmel,FBgn0031954,FBgn0063741,CG14537,
RpLP0-like,Dmel,FBgn0033485,,CG1381,
Unc-115a,Dmel,FBgn0051352,"FBgn0037733,FBgn0044663,FBgn0063633",CG31352,CG9489
lectin-28C,Dmel,FBgn0040099,FBgn0031956,CG7106,
mod(mdg4),Dmel,FBgn0002781,"FBgn0010160,FBgn0010321,FBgn0010822,FBgn0011326,FBgn0024544,FBgn0038882,FBgn0038883,FBgn0038884,FBgn0038885,FBgn0040578,FBgn0040579,FBgn0040580,FBgn0046992,FBgn0052491,FBgn0063265",CG32491,"CG15500,CG7836,CG7859,CG8076,CG18151,CG15802,CG15501"
Scr,Dmel,FBgn0003339,FBgn0002844,CG1030,
MED30,Dmel,FBgn0035149,FBgn0063484,CG17183,
CG7202,Dmel,FBgn0037086,,CG7202,
Mst85C,Dmel,FBgn0028708,,CG11993,
CG17564,Dmel,FBgn0032768,,CG17564,
CG43329,Dmel,FBgn0263034,FBgn0037168,CG43329,CG12377
CG43254,Dmel,FBgn0262899,,CG43254,
CG11470,Dmel,FBgn0039671,,CG11470,
Mst98Ca,Dmel,FBgn0002865,,CG11719,
CG10341,Dmel,FBgn0032701,,CG10341,
Sap30,Dmel,FBgn0030788,,CG4756,
CR43158,Dmel,FBgn0262688,,CR43158,
CG8086,Dmel,FBgn0032010,FBgn0032009,CG8086,CG8113
CG13457,Dmel,FBgn0036482,"FBgn0063729,FBgn0065009",CG13457,
CG34448,Dmel,FBgn0085477,"FBgn0031427,FBgn0051684",CG34448,"CG31684,CG9966"
CG42465,Dmel,FBgn0259955,,CG42465,
Sfp24C1,Dmel,FBgn0259956,,CG42466,
CG43147,Dmel,FBgn0262623,,CG43147,
CG42481,Dmel,FBgn0259971,,CG42481,
CG43167,Dmel,FBgn0262786,,CG43167,
Ald,Dmel,FBgn0000064,FBgn0064914,CG6058,
Nf-YC,Dmel,FBgn0029905,,CG3075,
CG6379,Dmel,FBgn0029693,,CG6379,
CG8138,Dmel,FBgn0038122,,CG8138,
snRNA:7SK,Dmel,FBgn0065099,FBgn0053925,CR33925,
CG43172,Dmel,FBgn0262791,,CG43172,
RyR,Dmel,FBgn0011286,"FBgn0010268,FBgn0022194",CG10844,
CG4462,Dmel,FBgn0038752,,CG4462,
Vps45,Dmel,FBgn0261049,"FBgn0260566,FBgn0260863,FBgn0042683,FBgn0037711",CG8228,
mRpL42,Dmel,FBgn0033480,FBgn0047062,CG12921,
LysP,Dmel,FBgn0004429,FBgn0002575,CG9116,
CG7102,Dmel,FBgn0031961,FBgn0031963,CG7102,CG17973
CG9192,Dmel,FBgn0035193,,CG9192,
CG14607,Dmel,FBgn0037488,,CG14607,
LysD,Dmel,FBgn0004427,FBgn0002575,CG9118,
CG2187,Dmel,FBgn0017448,,CG2187,
CG10376,Dmel,FBgn0032702,,CG10376,
CG13045,Dmel,FBgn0036596,,CG13045,
CG10383,Dmel,FBgn0032699,,CG10383,
CG6475,Dmel,FBgn0038886,,CG6475,
CG7304,Dmel,FBgn0036527,,CG7304,
CCAP-R,Dmel,FBgn0039396,"FBgn0039397,FBgn0046531,FBgn0046532,FBgn0053344",CG33344,"CG6111,CG14547"
spz3,Dmel,FBgn0031959,FBgn0031960,CG7104,CG14533
Obp50a,Dmel,FBgn0050067,FBgn0043528,CG30067,
CycJ,Dmel,FBgn0010317,,CG10308,
CG32267,Dmel,FBgn0052267,,CG32267,
CG14971,Dmel,FBgn0035449,,CG14971,
CG9101,Dmel,FBgn0030622,,CG9101,
CG42740,Dmel,FBgn0261704,,CG42740,
CG2217,Dmel,FBgn0027544,,CG2217,
CG34034,Dmel,FBgn0054034,FBgn0082652,CG34034,
CSN8,Dmel,FBgn0261437,"FBgn0028835,FBgn0005776,FBgn0032027,FBgn0053297,FBgn0065343",CG42522,"CG33297,CG13383"
CG17233,Dmel,FBgn0036958,FBgn0036957,CG17233,CG6918
CG7567,Dmel,FBgn0039670,FBgn0063003,CG7567,
Mesh1,Dmel,FBgn0039650,,CG11900,
galectin,Dmel,FBgn0031213,,CG11372,
CG5938,Dmel,FBgn0046247,FBgn0039506,CG5938,
sing,Dmel,FBgn0261245,"FBgn0022723,FBgn0030771",CG13011,
CG12902,Dmel,FBgn0033512,FBgn0063344,CG12902,
CG10565,Dmel,FBgn0037051,,CG10565,
Ptpmeg,Dmel,FBgn0261985,"FBgn0035133,FBgn0062170,FBgn0046703",CG1228,
CG13010,Dmel,FBgn0030770,,CG13010,
RhoGAP16F,Dmel,FBgn0030893,,CG7122,
CR43378,Dmel,FBgn0263208,,CR43378,
CG14383,Dmel,FBgn0038102,,CG14383,
CG15422,Dmel,FBgn0031579,,CG15422,
CG34176,Dmel,FBgn0085205,,CG34176,
Dg,Dmel,FBgn0034072,,CG18250,
CG17658,Dmel,FBgn0034924,,CG17658,
CG16789,Dmel,FBgn0037712,,CG16789,
CG45488,Dmel,FBgn0267044,,CG45488,
Kdm2,Dmel,FBgn0037659,,CG11033,
CG15728,Dmel,FBgn0030409,,CG15728,
CG2540,Dmel,FBgn0030411,,CG2540,
sut4,Dmel,FBgn0028560,,CG1380,
CoRest,Dmel,FBgn0261573,"FBgn0052534,FBgn0053525,FBgn0031025,FBgn0046809,FBgn0052535,FBgn0063163",CG42687,"CG32534,CG32535,CG3878,CG33525"
l(1)G0156,Dmel,FBgn0027291,FBgn0031024,CG12233,
CG11815,Dmel,FBgn0035299,,CG11815,
armi,Dmel,FBgn0041164,FBgn0035448,CG11513,
Sirt2,Dmel,FBgn0038788,,CG5085,
CG30148,Dmel,FBgn0050148,"FBgn0034516,FBgn0063318",CG30148,CG13429
APC7,Dmel,FBgn0029879,,CG14444,
CG42846,Dmel,FBgn0262035,,CG42846,
CG13427,Dmel,FBgn0034514,,CG13427,
Adgf-C,Dmel,FBgn0038173,,CG9345,
msl-1,Dmel,FBgn0005617,"FBgn0001318,FBgn0002851",CG10385,
Bre1,Dmel,FBgn0086694,"FBgn0035637,FBgn0010756",CG10542,
CG30151,Dmel,FBgn0050151,FBgn0064860,CG30151,
Ciao1,Dmel,FBgn0033972,,CG12797,
CG13426,Dmel,FBgn0034510,,CG13426,
eya,Dmel,FBgn0000320,"FBgn0000623,FBgn0004612,FBgn0063692",CG9554,
CG6015,Dmel,FBgn0038927,,CG6015,
Nap1,Dmel,FBgn0015268,,CG5330,
TwdlE,Dmel,FBgn0031957,,CG14534,
CG14535,Dmel,FBgn0031955,,CG14535,
CG12708,Dmel,FBgn0030666,,CG12708,
CG13562,Dmel,FBgn0034928,,CG13562,
CG7031,Dmel,FBgn0039027,,CG7031,
PHDP,Dmel,FBgn0025334,,CG11182,
maf-S,Dmel,FBgn0034534,"FBgn0020275,FBgn0027740",CG9954,
CG33217,Dmel,FBgn0053217,FBgn0063058,CG33217,
CG13078,Dmel,FBgn0032809,,CG13078,
yki,Dmel,FBgn0034970,,CG4005,
rad50,Dmel,FBgn0034728,,CG6339,
CG45085,Dmel,FBgn0266486,,CG45085,
CG14105,Dmel,FBgn0036359,,CG14105,
CG14106,Dmel,FBgn0260459,FBgn0036358,CG14106,
Rbf,Dmel,FBgn0015799,,CG7413,
CG31324,Dmel,FBgn0051324,"FBgn0039414,FBgn0040603,FBgn0062912",CG31324,"CG14557,CG14555"
CG3434,Dmel,FBgn0036000,,CG3434,
CG12971,Dmel,FBgn0037078,,CG12971,
Tpc2,Dmel,FBgn0035078,,CG2857,
CG43220,Dmel,FBgn0262856,,CG43220,
CG42598,Dmel,FBgn0260997,,CG42598,
ovo,Dmel,FBgn0003028,"FBgn0000825,FBgn0000849,FBgn0003650,FBgn0029741",CG6824,CG15467
phr6-4,Dmel,FBgn0016054,,CG2488,
srw,Dmel,FBgn0261952,"FBgn0003508,FBgn0035525",CG11582,
CG11583,Dmel,FBgn0035524,FBgn0052253,CG11583,CG32253
CG15210,Dmel,FBgn0040850,,CG15210,
ZnT33D,Dmel,FBgn0051860,FBgn0032418,CG31860,CG17215
CG3437,Dmel,FBgn0035998,,CG3437,
CG17333,Dmel,FBgn0030239,,CG17333,
CG9083,Dmel,FBgn0035077,,CG9083,
pgc,Dmel,FBgn0016053,FBgn0034719,CG32885,"CR32885,CG11296"
CG9396,Dmel,FBgn0037714,,CG9396,
Cp36,Dmel,FBgn0000359,FBgn0000428,CG1478,
CG11586,Dmel,FBgn0035520,,CG11586,
CG44812,Dmel,FBgn0266047,,CG44812,
RpL41,Dmel,FBgn0066084,"FBgn0046237,FBgn0047072,FBgn0050425,FBgn0063106",CG30425,
Ca-beta,Dmel,FBgn0259822,"FBgn0032351,FBgn0032352,FBgn0053305,FBgn0015608,FBgn0032353",CG42403,"CG33305,CG6320,CG14922,CG14923"
CG7324,Dmel,FBgn0037074,,CG7324,
Tyler,Dmel,FBgn0031038,FBgn0053075,CG14208,CG33075
CG32054,Dmel,FBgn0052054,"FBgn0036067,FBgn0046224",CG32054,CG6645
CG14160,Dmel,FBgn0036066,,CG14160,
CG15535,Dmel,FBgn0039764,,CG15535,
CG12746,Dmel,FBgn0037341,,CG12746,
CG13840,Dmel,FBgn0039028,,CG13840,
Muc14A,Dmel,FBgn0052580,,CG32580,
Ance-5,Dmel,FBgn0035076,,CG10142,
CG43102,Dmel,FBgn0262562,"FBgn0038543,FBgn0038544",CG43102,"CG7397,CG14318"
CG11077,Dmel,FBgn0039930,,CG11077,
p47,Dmel,FBgn0033179,FBgn0062165,CG11139,
CG45086,Dmel,FBgn0266487,,CG45086,
Orc1,Dmel,FBgn0022772,,CG10667,
lgs,Dmel,FBgn0039907,,CG2041,
CG11298,Dmel,FBgn0034721,FBgn0063348,CG11298,
pigeon,Dmel,FBgn0010309,,CG10739,
GlcAT-I,Dmel,FBgn0066114,"FBgn0026081,FBgn0047321,FBgn0052775",CG32775,
Rtf1,Dmel,FBgn0034722,,CG10955,
CR43377,Dmel,FBgn0263207,,CR43377,
H2.0,Dmel,FBgn0001170,,CG11607,
CG12496,Dmel,FBgn0040385,FBgn0029617,CG12496,
CG11180,Dmel,FBgn0034528,,CG11180,
CG41284,Dmel,FBgn0085599,,CG41284,
Cyp4ae1,Dmel,FBgn0015036,FBgn0014088,CG10755,
CG3224,Dmel,FBgn0029885,,CG3224,
CG13437,Dmel,FBgn0034541,,CG13437,
dpr18,Dmel,FBgn0030723,,CG14948,
Apoltp,Dmel,FBgn0032136,,CG15828,
SerT,Dmel,FBgn0010414,FBgn0011835,CG4545,
Psi,Dmel,FBgn0014870,,CG8912,
CG2202,Dmel,FBgn0030240,,CG2202,
CheB42a,Dmel,FBgn0053348,FBgn0033120,CG33348,CG15242
Rheb,Dmel,FBgn0041191,FBgn0037343,CG1081,
Dscam3,Dmel,FBgn0261046,"FBgn0250794,FBgn0051190,FBgn0038513,FBgn0038514",CG31190,"CG8106,CG12536"
