gene_symbol,organism_abbreviation,primary_FBgn,secondary_FBgn,annotation_ID,secondary_annotation_IDs
Sap-r,Dmel,FBgn0000416,"FBgn0026286,FBgn0027566",CG12070,
ECSIT,Dmel,FBgn0028436,,CG10610,
Acp26Aa,Dmel,FBgn0002855,,CG8982,
ng3,Dmel,FBgn0010295,FBgn0063122,CG10788,
robl62A,Dmel,FBgn0028567,FBgn0035222,CG1014,
Spn43Aa,Dmel,FBgn0024294,"FBgn0033144,FBgn0063809",CG12172,
snRNA:U6:96Ab,Dmel,FBgn0004189,"FBgn0003455,FBgn0003939,FBgn0003940",CR32867,
sob,Dmel,FBgn0004892,,CG3242,
alpha-Est8,Dmel,FBgn0015576,,CG1121,
CG10814,Dmel,FBgn0033830,,CG10814,
CG10948,Dmel,FBgn0036317,,CG10948,
CG12538,Dmel,FBgn0038157,,CG12538,
mir-4983,Dmel,FBgn0263515,,CR43500,
MFS3,Dmel,FBgn0031307,,CG4726,
snoRNA:M,Dmel,FBgn0044508,FBgn0052807,CR32807,
CG10934,Dmel,FBgn0034263,FBgn0044751,CG10934,
CG12540,Dmel,FBgn0030570,FBgn0047102,CG12540,
snoRNA:U27:54Eb,Dmel,FBgn0063387,,CR32900,
snoRNA:U49:66Da,Dmel,FBgn0060292,,CR32911,
snRNA:U2:14B,Dmel,FBgn0003920,FBgn0003919,CR32913,
Cec-Psi1,Dmel,FBgn0000280,,CR32926,
5SrRNA:CR33353,Dmel,FBgn0053353,,CR33353,
CG13197,Dmel,FBgn0062449,FBgn0033647,CG13197,
CG30020,Dmel,FBgn0050020,"FBgn0033567,FBgn0033568,FBgn0065031",CG30020,"CG18353,CG12941"
CG33981,Dmel,FBgn0250851,"FBgn0053981,FBgn0083929",CG33981,
CG32388,Dmel,FBgn0250849,"FBgn0045806,FBgn0044595,FBgn0047300,FBgn0052388,FBgn0063764,FBgn0066867",CG32388,
Cyp4ac1,Dmel,FBgn0031693,,CG14032,
mir-4958,Dmel,FBgn0263516,,CR43501,
mys,Dmel,FBgn0004657,"FBgn0001448,FBgn0001811,FBgn0002992,FBgn0020759,FBgn0025177,FBgn0027260,FBgn0028333,FBgn0029991",CG1560,
CG3071,Dmel,FBgn0023527,,CG3071,
CG15172,Dmel,FBgn0032740,,CG15172,
CG30265,Dmel,FBgn0050265,FBgn0034781,CG30265,CG11682
Gr59b,Dmel,FBgn0045482,"FBgn0034818,FBgn0045484,FBgn0050191",CG30191,CG13537
HLH4C,Dmel,FBgn0011277,,CG3052,
CG14174,Dmel,FBgn0036036,,CG14174,
Ir56a,Dmel,FBgn0050125,,CG30125,
snoRNA:Psi28S-2949,Dmel,FBgn0082981,,CR34525,
snoRNA:Me28S-G3255a,Dmel,FBgn0082928,,CR34526,
snoRNA:Me28S-A982a,Dmel,FBgn0082943,,CR34527,
snoRNA:Me28S-A982b,Dmel,FBgn0082942,,CR34528,
snoRNA:Me28S-G3255b,Dmel,FBgn0082927,,CR34529,
otu,Dmel,FBgn0003023,,CG12743,
CG1640,Dmel,FBgn0030478,,CG1640,
lectin-46Ca,Dmel,FBgn0040093,FBgn0033445,CG1656,
Trap1,Dmel,FBgn0026761,,CG3152,
Gr59d,Dmel,FBgn0041236,"FBgn0034823,FBgn0050330",CG30330,CG13543
CG14325,Dmel,FBgn0038531,,CG14325,
CG30379,Dmel,FBgn0050379,,CG30379,
CG1791,Dmel,FBgn0030163,,CG1791,
Tengl2,Dmel,FBgn0052463,FBgn0031404,CG32463,CG17006
CG42486,Dmel,FBgn0259989,FBgn0260227,CG42486,CG42501
CG15739,Dmel,FBgn0030347,,CG15739,
Ir60b,Dmel,FBgn0259185,FBgn0035015,CG42289,CG13582
Or45b,Dmel,FBgn0033422,,CG12931,
Phf7,Dmel,FBgn0031091,,CG9576,
CG12970,Dmel,FBgn0034047,,CG12970,
CG30378,Dmel,FBgn0050378,FBgn0045369,CG30378,
CG3225,Dmel,FBgn0031631,,CG3225,
Tengl4,Dmel,FBgn0037857,,CG4683,
CG32079,Dmel,FBgn0052079,FBgn0036114,CG32079,CG11806
mir-4976,Dmel,FBgn0263517,,CR43502,
CG14491,Dmel,FBgn0034284,,CG14491,
CG14492,Dmel,FBgn0034283,,CG14492,
CG3436,Dmel,FBgn0031229,,CG3436,
hts,Dmel,FBgn0263391,"FBgn0004873,FBgn0010467,FBgn0010476,FBgn0021853,FBgn0022142,FBgn0027664,FBgn0085226",CG43443,"CG9325,CG34197"
CG3032,Dmel,FBgn0029928,,CG3032,
CG1998,Dmel,FBgn0030485,,CG1998,
dpr10,Dmel,FBgn0052057,"FBgn0036069,FBgn0036071,FBgn0063023",CG32057,"CG14159,CG14158"
CG13366,Dmel,FBgn0025633,,CG13366,
Pfrx,Dmel,FBgn0027621,,CG3400,
sty,Dmel,FBgn0014388,,CG1921,
CG3557,Dmel,FBgn0031423,,CG3557,
CG3513,Dmel,FBgn0031559,,CG3513,
CG32137,Dmel,FBgn0052137,"FBgn0036387,FBgn0036388",CG32137,"CG17366,CG17365"
CG43773,Dmel,FBgn0264295,FBgn0031581,CG43773,CG10039
sad,Dmel,FBgn0003312,FBgn0037957,CG14728,
CG14739,Dmel,FBgn0037987,,CG14739,
CG15475,Dmel,FBgn0032867,,CG15475,
stc,Dmel,FBgn0001978,FBgn0065412,CG3647,
Swip-1,Dmel,FBgn0032731,,CG10641,
CG3610,Dmel,FBgn0038266,,CG3610,
mir-4975,Dmel,FBgn0263518,,CR43503,
CG14810,Dmel,FBgn0029589,,CG14810,
mir-4964,Dmel,FBgn0263519,,CR43504,
Act88F,Dmel,FBgn0000047,,CG5178,
CG14997,Dmel,FBgn0035515,FBgn0064976,CG14997,
CG5316,Dmel,FBgn0038704,,CG5316,
mir-927,Dmel,FBgn0262210,,CR42917,
mir-965,Dmel,FBgn0262252,,CR42959,
Or65b,Dmel,FBgn0041624,FBgn0052402,CG32402,
CG32440,Dmel,FBgn0052440,FBgn0037079,CG32440,CG5051
CG5347,Dmel,FBgn0030578,,CG5347,
CG32521,Dmel,FBgn0052521,"FBgn0031165,FBgn0031166",CG32521,"CG1735,CG1726"
CG34030,Dmel,FBgn0054030,FBgn0082656,CG34030,
mir-4945,Dmel,FBgn0263520,,CR43505,
GluRIID,Dmel,FBgn0028422,"FBgn0038817,FBgn0061176,FBgn0082321",CG18039,
Or98a,Dmel,FBgn0039551,,CG5540,
CG5561,Dmel,FBgn0031333,,CG5561,
CG5568,Dmel,FBgn0035641,,CG5568,
CG16721,Dmel,FBgn0029820,,CG16721,
Vml,Dmel,FBgn0085362,,CG34333,
Toll-4,Dmel,FBgn0032095,,CG18241,
CG18266,Dmel,FBgn0031724,FBgn0044575,CG18266,
ppk19,Dmel,FBgn0039679,,CG18287,
CG16998,Dmel,FBgn0035795,,CG16998,
CG44215,Dmel,FBgn0265146,,CG44215,
mthl12,Dmel,FBgn0045442,"FBgn0052853,FBgn0063602",CG32853,
MtnD,Dmel,FBgn0053192,,CG33192,
CG16894,Dmel,FBgn0034483,,CG16894,
CG5758,Dmel,FBgn0032666,,CG5758,
CG7183,Dmel,FBgn0038583,,CG7183,
rtet,Dmel,FBgn0028468,"FBgn0010915,FBgn0063806",CG5760,
Jon66Cii,Dmel,FBgn0035887,FBgn0001287,CG7170,
Gr68a,Dmel,FBgn0041231,FBgn0036201,CG7303,
CG5906,Dmel,FBgn0036217,FBgn0063324,CG5906,
Slc45-1,Dmel,FBgn0035968,,CG4484,
CG5767,Dmel,FBgn0034292,,CG5767,
Or33a,Dmel,FBgn0026392,,CG16960,
CG18538,Dmel,FBgn0034324,,CG18538,
CG18545,Dmel,FBgn0037812,,CG18545,
yellow-f,Dmel,FBgn0041710,FBgn0038104,CG18550,
