"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0032225","FBgn0032225",126.400662373316,1.61984621051715,0.156569861657757,10.3458366339873,4.37081772657098e-25,3.97927848304747e-24
"FBgn0039944","FBgn0039944",2161.26734563221,1.58866128438987,0.169977807895377,9.34628645974601,9.07790934401047e-21,6.82715214383382e-20
"FBgn0267025","FBgn0267025",15.9616028760658,4.81866052863802,0.774160121807659,6.22437192629669,4.83488906819788e-10,1.95414629797834e-09
"FBgn0267026","FBgn0267026",64.3013571884649,0.648855169185759,0.142886698338181,4.541046694564,5.59756312535935e-06,1.51069367746185e-05
"FBgn0267029","FBgn0267029",99.0933917505611,0.718597963971286,0.143368203411855,5.01225478781348,5.37959070349822e-07,1.64726235656886e-06
"FBgn0035686","FBgn0035686",3.30420861326529,4.43971033292746,0.999514872779299,4.44186520264795,8.91824252214641e-06,2.3425746850448e-05
"FBgn0035687","FBgn0035687",6.54504887351121,1.97659681790838,0.517244191320267,3.8213997393825,0.00013269636075776,0.000301695990432622
"FBgn0023514","FBgn0023514",978.080777855318,-0.35795207842543,0.0802783175458651,-4.45888864351103,8.23857063675297e-06,2.17311731135484e-05
"FBgn0034135","FBgn0034135",366.00704088253,3.01414727224475,0.158817365969279,18.9787008105133,2.55844390918689e-80,8.99171543725961e-79
"FBgn0052392","FBgn0052392",74.8078033994394,2.68438100081595,0.1958567674791,13.7058373594489,9.36802798869094e-43,1.44623960924797e-41
"FBgn0262003","FBgn0262003",449.166065726331,-0.485403852734169,0.201114285820257,-2.41357221718198,0.0157969970234331,0.0261751043754453
"FBgn0016047","FBgn0016047",83.7808996240077,1.69436359833765,0.179153422968052,9.45761219778537,3.15055312607355e-21,2.42299874280302e-20
"FBgn0016041","FBgn0016041",2968.15901197705,-0.422639221452819,0.0838740095080896,-5.0389771984378,4.68026233301904e-07,1.44154371295093e-06
"FBgn0000261","FBgn0000261",13647.8522183126,-1.9931748243998,0.12729042281174,-15.6584822359155,2.90753400236763e-55,5.94838907606334e-54
"FBgn0035287","FBgn0035287",446.01744819357,2.10288767003436,0.331831745030283,6.33721065428038,2.33962017574435e-10,9.65784155223605e-10
"FBgn0038548","FBgn0038548",170.694992268081,0.39368463595355,0.159795400326504,2.46367939971456,0.0137519056283036,0.0230119000685351
"FBgn0038549","FBgn0038549",343.558434822118,-0.48698632567985,0.174546728879409,-2.79000545473585,0.00527071535546704,0.00950632749462246
"FBgn0262567","FBgn0262567",143.027760059769,-0.526008754528098,0.176328497184694,-2.98311823061211,0.00285327750448782,0.00535979957621166
"FBgn0038540","FBgn0038540",48.1017028315669,3.21101619458596,0.266237551867971,12.06071860283,1.70290559656587e-33,2.03668804334523e-32
"FBgn0038541","FBgn0038541",42.9285429886459,0.959502781540569,0.219851854628492,4.36431515741338,1.27521622554236e-05,3.29535989068707e-05
"FBgn0035022","FBgn0035022",71.7418670487766,1.93806635023974,0.228938059119223,8.46546160868105,2.55140147342619e-17,1.61640147727333e-16
"FBgn0035023","FBgn0035023",1427.54099385148,1.72928239347543,0.126995239644549,13.6169072031013,3.17741242231855e-42,4.78208171024066e-41
"FBgn0038547","FBgn0038547",87.3050841900558,1.97894914926831,0.213383116339964,9.27415993923076,1.79024172729488e-20,1.32421054749113e-19
"FBgn0040965","FBgn0040965",20.1295413937769,3.26454674913472,0.427980083199358,7.62780063205431,2.38792466728312e-14,1.29280844078125e-13
"FBgn0042105","FBgn0042105",157.891777326157,-6.05357827853009,1.12278581346968,-5.39156997346008,6.98447512940397e-08,2.34530734129065e-07
"FBgn0038472","FBgn0038472",314.720209244329,-0.268539913842792,0.0922524762250434,-2.91092363946641,0.0036036207551655,0.00665992308188782
"FBgn0266579","FBgn0266579",1429.60188650219,1.55211517147937,0.189382586000074,8.19565940175071,2.49223110472415e-16,1.49748098183569e-15
"FBgn0261705","FBgn0261705",30.7370637063719,1.12294291384844,0.206190879103261,5.44613281990068,5.14767041069906e-08,1.75285491495035e-07
"FBgn0261703","FBgn0261703",1649.21405261113,0.59160026511682,0.113890044834205,5.1944861904132,2.05286010285012e-07,6.56393540382724e-07
"FBgn0031855","FBgn0031855",208.410492453955,1.71136115582707,0.174514812187468,9.80639485196644,1.05676742035808e-22,8.62832425888731e-22
"FBgn0031854","FBgn0031854",12.0302255093547,5.55388652347621,0.882723205660336,6.29176449408229,3.13877437106339e-10,1.28513046328408e-09
"FBgn0031850","FBgn0031850",600.803563399527,1.88888532319366,0.13535953854607,13.9545786243263,2.95040304044005e-44,4.71091003233715e-43
"FBgn0038473","FBgn0038473",1520.49525871937,-0.463514447948117,0.0737896750002195,-6.28156239943783,3.35187213435213e-10,1.37059652890538e-09
"FBgn0031858","FBgn0031858",433.942697572436,4.46899771832405,0.146948722137105,30.411953593951,3.8175458831844e-203,1.60107874340754e-200
"FBgn0030945","FBgn0030945",420.238023709121,0.44602304957889,0.107702161907389,4.14126366342039,3.45397643034158e-05,8.45156193048575e-05
"FBgn0266181","FBgn0266181",1308.54062906341,3.76167754331871,0.216618977478401,17.3654108569218,1.50816450540694e-67,4.04599697378042e-66
"FBgn0262008","FBgn0262008",2.83547020939963,-3.85497069027498,0.995594292062103,-3.87202972235855,0.000107932786567954,0.000248611954056059
"FBgn0034318","FBgn0034318",802.162072963118,-6.6387082312599,0.740189127410431,-8.96893508080236,2.99394950904035e-19,2.09743166607715e-18
"FBgn0034647","FBgn0034647",514.150727545498,-0.81738363450393,0.249770867648103,-3.27253391158301,0.00106588085268146,0.00213685673811953
"FBgn0034310","FBgn0034310",814.0334248772,-0.735134071986142,0.114894628464923,-6.39833281858408,1.57082604874747e-10,6.56179725940926e-10
"FBgn0267001","FBgn0267001",723.750185277934,2.60386096643,0.305433887438423,8.52512138802852,1.52649648940457e-17,9.72474877452569e-17
"FBgn0034315","FBgn0034315",994.239150332659,-0.428468164939652,0.0888220514124331,-4.82389404574905,1.40782223504517e-06,4.10028225956906e-06
"FBgn0034314","FBgn0034314",480.63030340315,-1.31026214800603,0.245724690726019,-5.33223643149055,9.70105155630848e-08,3.21545391679329e-07
"FBgn0038156","FBgn0038156",446.979337033734,4.7870133475816,0.241259537914452,19.8417579216247,1.29838374864517e-87,5.37377115968866e-86
"FBgn0038151","FBgn0038151",3.27156373736064,-3.99180368587044,1.74841897098085,-2.28309332724243,0.0224248715410065,0.036122101360766
"FBgn0038150","FBgn0038150",9.06160813317004,-6.10728603474103,1.23489575728626,-4.94558832088149,7.59142412294667e-07,2.28560177829421e-06
"FBgn0266966","FBgn0266966",7.5994968190475,1.55387952151631,0.404126867713603,3.8450289888113,0.000120538187826224,0.000275349681725757
"FBgn0265379","FBgn0265379",14.0357026164676,4.24327546919669,0.609628115719941,6.96043269622758,3.39229197286364e-12,1.59916888731998e-11
"FBgn0026181","FBgn0026181",1880.50686895715,-0.380829829803744,0.108043541143618,-3.5247810815227,0.000423832897703101,0.000897604026073123
"FBgn0265377","FBgn0265377",20.208764407517,-1.97753485746947,0.334156090141794,-5.91799735456065,3.2588520852188e-09,1.23020932901959e-08
"FBgn0265376","FBgn0265376",49.9771303871914,3.2391973692096,0.309312154456552,10.4722602152532,1.15843476435943e-25,1.07093506283397e-24
"FBgn0026189","FBgn0026189",1575.54278847995,0.434439207933562,0.138522862036172,3.13622749016057,0.00171136398779971,0.00332751996515159
"FBgn0026702","FBgn0026702",348.768618755079,-0.95596517454724,0.173456703519069,-5.51126105335069,3.56271849859509e-08,1.23250272612932e-07
"FBgn0040958","FBgn0040958",105.230193928229,-8.20899251674621,1.36595285556947,-6.00971877124108,1.85845424002076e-09,7.14641541807494e-09
"FBgn0040959","FBgn0040959",1011.13293900817,-8.04960494221687,0.995445584080399,-8.08643392562052,6.1437022150093e-16,3.61553139706488e-15
"FBgn0040228","FBgn0040228",303.908270807941,-0.221864384176295,0.099094326173065,-2.23892116475787,0.0251610461108556,0.0401034053922961
"FBgn0040227","FBgn0040227",5734.62087293959,-0.271071489009235,0.0732054870178589,-3.70288485264916,0.000213161647102729,0.000472183071099742
"FBgn0015024","FBgn0015024",4857.03659763073,0.271095769933385,0.0907727796975774,2.98653154433057,0.00282161726731209,0.00530666494130354
"FBgn0010051","FBgn0010051",2239.57466682207,0.401050950235231,0.157440340129412,2.54732014619365,0.0108553793633098,0.0184482814518396
"FBgn0267624","FBgn0267624",10.382835102605,1.3490748165882,0.481908568267396,2.79944144060048,0.00511911007845384,0.00924747207567929
"FBgn0023130","FBgn0023130",382.021796231714,0.185203302985916,0.0785600857291777,2.35747328006199,0.0183997794242319,0.030120482008286
"FBgn0051619","FBgn0051619",794.775848099814,2.48769569731331,0.263444309569018,9.44296614864468,3.62373159574106e-21,2.78010920351305e-20
"FBgn0026326","FBgn0026326",785.070763081264,-0.21386226083393,0.0977154870638719,-2.18862196014168,0.0286243283485666,0.0451373980801685
"FBgn0000289","FBgn0000289",3228.34469547197,0.600256745738656,0.110218724707143,5.44605054480146,5.15005075541286e-08,1.75319097956181e-07
"FBgn0039212","FBgn0039212",906.141641251265,-0.36354888844828,0.0725384758057503,-5.01180765669549,5.39210876616061e-07,1.6506937346918e-06
"FBgn0000287","FBgn0000287",195.366465771948,3.23515824781356,0.165797253492026,19.512737272027,8.55748887825087e-85,3.32315818105409e-83
"FBgn0038478","FBgn0038478",1736.5903277364,-0.490669663933816,0.207602288651596,-2.36350797055649,0.0181028372454009,0.0296807268988317
"FBgn0027588","FBgn0027588",7212.22277000022,0.415300659508972,0.0836957729713677,4.96202669220877,6.9761405628459e-07,2.1150313388368e-06
"FBgn0027589","FBgn0027589",151.17606366843,5.66966990080696,0.352930500984569,16.0645506267956,4.52129075745628e-58,9.89337048875042e-57
"FBgn0027585","FBgn0027585",1404.43028499559,0.910796671955359,0.1785895255111,5.09994451997549,3.39753053700236e-07,1.05994865401844e-06
"FBgn0027586","FBgn0027586",2978.91227731465,1.22980942919792,0.172234296111661,7.14032836062233,9.31082281644419e-13,4.52486568854773e-12
"FBgn0027580","FBgn0027580",16269.223356801,0.416260297743946,0.0893884115049799,4.6567590891886,3.21225959576894e-06,8.93383073252979e-06
"FBgn0027581","FBgn0027581",1468.40327083659,0.53125055020254,0.222690927129816,2.38559584375367,0.0170514785863453,0.0280666802162999
"FBgn0027582","FBgn0027582",1840.28872839213,-0.3089031599959,0.143631479442908,-2.15066475116749,0.0315026704709139,0.0492809399310007
"FBgn0037102","FBgn0037102",600.856150940437,-0.25854520105346,0.0604709584577644,-4.27552675941195,1.90685894388194e-05,4.83029982523104e-05
"FBgn0051472","FBgn0051472",1220.10704961855,-0.407680259849848,0.0992176608204505,-4.10894851257991,3.97464669021057e-05,9.65797695176311e-05
"FBgn0051475","FBgn0051475",124.131479861019,2.94898600167985,0.18572461965274,15.8782718585922,8.9613503506605e-57,1.88548010220753e-55
"FBgn0037669","FBgn0037669",283.764034383023,-0.812720951927551,0.117042745663458,-6.94379602358639,3.81701530181919e-12,1.79133482012268e-11
"FBgn0037660","FBgn0037660",500.87932030159,0.170360110625624,0.0775582782892046,2.19654322379842,0.028053084933481,0.0443254947423155
"FBgn0030817","FBgn0030817",3022.92415958746,-0.856131169986076,0.192553798164637,-4.44619206760111,8.74058070726887e-06,2.29830692703985e-05
"FBgn0030813","FBgn0030813",675.433315132848,-0.896594192276815,0.191961559726105,-4.67069653714053,3.00180121752497e-06,8.37256992216786e-06
"FBgn0037667","FBgn0037667",208.53258846051,-0.548602562718049,0.141053993087455,-3.88930898523311,0.000100530058319821,0.000232598233501285
"FBgn0039210","FBgn0039210",476.619162864316,-0.464654577965869,0.129885357565219,-3.57742078611559,0.00034700132904975,0.000746447379398865
"FBgn0033320","FBgn0033320",3267.90236776081,0.939089531965622,0.191838144031399,4.89521798027777,9.81968216529767e-07,2.91876307592193e-06
"FBgn0000137","FBgn0000137",7.73286165408586,-4.14096290082828,0.924803655839622,-4.47766709688094,7.54631562890355e-06,2.00058456053233e-05
"FBgn0000139","FBgn0000139",878.231319062641,0.147542353136756,0.0538290409395224,2.74094337483222,0.00612630644507039,0.0109010306451528
"FBgn0036641","FBgn0036641",731.876029767541,-0.726909543229971,0.159862765263624,-4.54708475754969,5.43940969272728e-06,1.47116622428836e-05
"FBgn0036640","FBgn0036640",541.363899501891,-1.63706126689627,0.343391887147694,-4.76732656817883,1.86686577252058e-06,5.3566488369108e-06
"FBgn0036648","FBgn0036648",233.963704641586,-0.214976864342594,0.0925538074561018,-2.32272307592053,0.0201940337951435,0.0327762297743157
"FBgn0032943","FBgn0032943",866.955087547292,1.19604029676807,0.0957215081298032,12.495000550411,7.94957406368249e-36,1.02691520399644e-34
"FBgn0032946","FBgn0032946",4696.91418534159,2.42934120945882,0.299662017075048,8.10693738623006,5.19115943241618e-16,3.07220921818722e-15
"FBgn0032763","FBgn0032763",295.426901931163,0.295441152074192,0.0954451287644201,3.09540314837237,0.00196545550168096,0.00378587892255815
"FBgn0004907","FBgn0004907",16942.7120679996,0.718692921586528,0.106447580255653,6.75161351587753,1.46209924617505e-11,6.59832593808266e-11
"FBgn0032949","FBgn0032949",10566.2794397472,-0.473072190380553,0.0985311422930435,-4.80124536639978,1.57681920013234e-06,4.56291149403521e-06
"FBgn0004903","FBgn0004903",1153.00332324167,0.635451259800944,0.0733867450931182,8.65893778221993,4.76180626834692e-18,3.11560304047535e-17
"FBgn0004901","FBgn0004901",954.203863432005,-1.20786129001546,0.192826755511701,-6.26397144322726,3.75294232279805e-10,1.52754129275155e-09
"FBgn0041579","FBgn0041579",3732.09022457882,1.10536602412991,0.410869972043688,2.69030617796614,0.00713864896762832,0.012544480629986
"FBgn0027329","FBgn0027329",4851.13343613557,-0.86363914115979,0.131138222961606,-6.58571636594953,4.52697309444916e-11,1.97634890611934e-10
"FBgn0020440","FBgn0020440",1263.81148383781,0.562555429687699,0.145031842523415,3.87884081109204,0.000104955406472945,0.000242342831326082
"FBgn0020445","FBgn0020445",1006.52745040999,-1.20415328616739,0.217025387741906,-5.54844434882157,2.88222595366513e-08,1.00371345001425e-07
"FBgn0038846","FBgn0038846",290.348050224748,-3.3753742108933,0.446550238889808,-7.55877819992884,4.06873013077008e-14,2.1737903399299e-13
"FBgn0013972","FBgn0013972",762.755148880597,3.01992019191726,0.146381285683401,20.6305073617735,1.46109124447999e-94,6.91107144287489e-93
"FBgn0013973","FBgn0013973",517.980721803208,4.71310033925252,0.148666370705078,31.7025317622254,1.43373077803216e-220,7.5163336038336e-218
"FBgn0004638","FBgn0004638",2223.85451594562,0.42543979995015,0.131962732043806,3.22393901187893,0.00126440325003641,0.00250847078081964
"FBgn0263116","FBgn0263116",231.840600269233,1.81671961378706,0.173260870062881,10.4854582175867,1.00756065478549e-25,9.32827679066297e-25
"FBgn0053113","FBgn0053113",8456.76091090544,0.58047880796359,0.0784830172562788,7.39623460280702,1.40100397291168e-13,7.16853679836304e-13
"FBgn0011828","FBgn0011828",996.178664591637,0.76253235794226,0.234925582443825,3.2458464080837,0.00117101999354371,0.00233313912252841
"FBgn0011822","FBgn0011822",379.92593556978,-6.93829987296648,0.736443708359568,-9.42135806743678,4.4529077859184e-21,3.40586539589212e-20
"FBgn0000711","FBgn0000711",2706.58031848499,1.79304187585693,0.110335672758291,16.2507902569725,2.20503677602993e-59,4.93661436227911e-58
"FBgn0032614","FBgn0032614",1821.38455307929,-1.31488072214413,0.110431964830298,-11.9067040432064,1.09209295308877e-32,1.27701798659507e-31
"FBgn0011824","FBgn0011824",1148.66318618439,-0.525903647007672,0.0902398562593882,-5.82784225072343,5.61486151286486e-09,2.08027642976636e-08
"FBgn0033549","FBgn0033549",196.0620926501,-1.22253721048918,0.307174722952805,-3.9799407931004,6.89324340438383e-05,0.000162630392863224
"FBgn0033548","FBgn0033548",531.44495442242,-0.660163537087778,0.110753486115544,-5.96065695303769,2.51225871762921e-09,9.56406631927706e-09
"FBgn0033544","FBgn0033544",1919.81402904623,0.782867345952664,0.165880237377873,4.71947326774861,2.36456115672752e-06,6.6931177669169e-06
"FBgn0033547","FBgn0033547",267.019025534518,-0.272382713066178,0.0828209904589108,-3.28881255291571,0.00100611005608897,0.00202412483621864
"FBgn0033541","FBgn0033541",341.242750770387,-3.70891989269291,0.482792532051713,-7.68222299738397,1.56351359793029e-14,8.52345237831841e-14
