"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0261552",3187.98885704045,-3.93333346759438,0.404516565102966,-9.72354115237081,2.39311033390567e-22,5.74949670063035e-22
"FBgn0035414",226.3682274842,2.05838539346584,0.211800949023777,9.71848994517379,2.51483184068841e-22,6.04078163794227e-22
"FBgn0028992",867.115066808775,0.674056163181789,0.0693621923077065,9.71791895203546,2.52897109642633e-22,6.0735854810529e-22
"FBgn0031816",169.737871490346,-1.09851427292956,0.113093158678237,-9.7133574282328,2.64478743825323e-22,6.35051823437064e-22
"FBgn0017581",26866.8110940507,-1.79174021438688,0.184465038995413,-9.71316962902351,2.6496665086999e-22,6.36101965511583e-22
"FBgn0046776",648.963937562101,3.39831125190194,0.34990962948161,9.71196836433603,2.68108708440334e-22,6.43522275771896e-22
"FBgn0034964",1142.03611940284,0.888966343785813,0.0915419362318621,9.71102841362447,2.70592958224285e-22,6.49361167342734e-22
"FBgn0036838",559.421488078122,1.30734075394936,0.134650348794492,9.70915237616403,2.75619555957996e-22,6.61297721789378e-22
"FBgn0266829",15.4081840020877,-5.02282929094802,0.517331170538775,-9.70911782817376,2.75712984115177e-22,6.61395760941306e-22
"FBgn0266162",16.5317087213589,-5.31038629604845,0.54700400742163,-9.70813051458179,2.78396264767256e-22,6.67705261780712e-22
"FBgn0003483",1035.11650300283,4.23086823849707,0.435901863857922,9.70601089211237,2.84244501629653e-22,6.81601738041603e-22
"FBgn0050274",50.5604739009119,-9.56328108905393,0.985546482341095,-9.70353124931972,2.91240534250277e-22,6.98244741222748e-22
"FBgn0052260",15.7569016887174,-8.4491847779017,0.870745113185768,-9.70339614883273,2.91626562534135e-22,6.99037037493711e-22
"FBgn0032886",1572.79349429311,-0.776476267495554,0.0800218337561347,-9.70330509872909,2.91887009410991e-22,6.99528067125541e-22
"FBgn0259712",16.8993157399899,-8.4094834741787,0.866710201105992,-9.70276277289401,2.93443096938161e-22,7.03123413764226e-22
"FBgn0034277",2572.61099661783,0.579254173286931,0.0597150337901902,9.70030721781303,3.0059215923192e-22,7.20116250467634e-22
"FBgn0000629",733.614226573094,0.839705656910824,0.0865928936061077,9.69716592137992,3.0998947350323e-22,7.42487636706195e-22
"FBgn0030936",14.0264440839921,-3.76696081546137,0.388648203239619,-9.69246939535925,3.2458418793038e-22,7.77296964701187e-22
"FBgn0032870",724.690256932756,1.24731373033842,0.12871165104841,9.69076008409909,3.30063060251714e-22,7.90267064526558e-22
"FBgn0085423",3088.31180384027,-1.39876357283002,0.144415137786245,-9.68571296798811,3.46780419938432e-22,8.30135320332068e-22
"FBgn0261995",1371.19141261296,-0.826193681116259,0.0853056325089416,-9.68510116878459,3.48862965260931e-22,8.3496173272076e-22
"FBgn0058005",418.658372450001,0.992814227982587,0.10251023545049,9.68502534034361,3.49121943472537e-22,8.35422649823404e-22
"FBgn0036279",1359.30034253538,-1.18836436069361,0.122742552416021,-9.68176347405416,3.6044422517749e-22,8.62352013915798e-22
"FBgn0041234",13.3836216942148,-8.47077201374831,0.87525500104846,-9.67806182609782,3.73733697702511e-22,8.93806763826839e-22
"FBgn0051235",14.1466894923046,-8.29287962941765,0.856872889912905,-9.67807445776532,3.7368753366549e-22,8.93806763826839e-22
"FBgn0011648",1809.7044472272,1.18411018883088,0.122365306867035,9.6768456611444,3.78204859375918e-22,9.04327924870354e-22
"FBgn0034487",19.3598826940362,-3.59678770554118,0.371779306456704,-9.67452368401263,3.86889000474716e-22,9.24916854260475e-22
"FBgn0037670",265.201070291791,-0.983173964465362,0.101648729836391,-9.6722700426049,3.95506190641254e-22,9.45337935153545e-22
"FBgn0004396",1160.29341324143,-2.26966018532903,0.23466496632885,-9.67191746103429,3.96871422166889e-22,9.48420937075745e-22
"FBgn0033629",42.2441296816685,-8.58021784854679,0.887345636686636,-9.66953292359161,4.06227814755151e-22,9.70595967574877e-22
"FBgn0028740",34.2944899863646,-7.5248609949006,0.778245126109173,-9.66901139814527,4.08303076684606e-22,9.75369149581491e-22
