"","entrZ","go_path","FBgn","symbol"
"521","33026","dme01100","FBgn0031099","CG17065"
"522","35656","dme01100","FBgn0283450","Glo1"
"523","43442","dme01100","FBgn0028671","Vha100-1"
"524","39396","dme01100","FBgn0022709","Adk1"
"525","39609","dme01100","FBgn0036447","CG17173"
"526","53427","dme01100","FBgn0040509","ACXB"
"527","53432","dme01100","FBgn0040510","ACXA"
"528","53504","dme01100","FBgn0040253","Ugt86Dg"
"529","43447","dme01100","FBgn0014869","Pglym78"
"530","33512","dme01100","FBgn0031491","alpha4GT1"
"531","33510","dme01100","FBgn0031489","CG17224"
"532","37228","dme01100","FBgn0261439","SdhA"
"533","42466","dme01100","FBgn0027493","AdSS"
"534","37728","dme01100","FBgn0034877","levy"
"535","44183","dme01100","FBgn0015808","ScpX"
"536","35139","dme01100","FBgn0027070","CG17322"
"537","35138","dme01100","FBgn0032713","CG17323"
"538","35137","dme01100","FBgn0027074","CG17324"
"539","34997","dme01100","FBgn0027779","VhaSFD"
"540","32013","dme01100","FBgn0030239","CG17333"
"541","35507","dme01100","FBgn0259979","CG17337"
"542","41550","dme01100","FBgn0005671","Vha55"
"543","3355111","dme01100","FBgn0040001","FASN3"
"544","44110","dme01100","FBgn0025814","Mgstl"
"545","32087","dme01100","FBgn0001145","Gs2"
"546","43693","dme01100","FBgn0039830","ATPsynC"
"547","32089","dme01100","FBgn0030300","Sk1"
