"MMgrey60"	"MMblack"	"MMtan"	"MMgreenyellow"	"MMblue"	"MMmagenta"	"MMpink"	"MMcyan"	"MMpurple"	"MMsalmon"	"MMlightcyan"	"MMmidnightblue"	"MMlightgreen"	"MMred"	"MMbrown"	"MMturquoise"
"FBgn0036111"	-0.513551134587035	-0.530958740749817	-0.745958727874752	0.369811217264541	0.863023910102416	0.941049712666014	0.929373805330665	0.4625782848421	0.0997102076162427	0.635190459735376	0.225930863762552	0.633672891378621	-0.223663949506464	-0.491749125284389	-0.817869148311277	-0.93876707575501
"FBgn0036110"	0.145365151859505	0.507282215076455	0.271943751244766	0.0420860267214134	-0.17425236714176	-0.377778782255153	-0.26916565706268	-0.503679788314959	-0.333083214706065	-0.340810715525631	-0.0813834909945739	-0.152436651820064	0.174747921100682	-0.113006400715996	0.153508391842951	0.357437394941792
"FBgn0036112"	-0.00216919738176295	0.528829953156184	0.33848321472839	0.0361280810542168	-0.270693434109082	-0.421941151442217	-0.319227327090102	-0.460348584547085	-0.266654469943762	-0.304080670876423	-0.0343259533255873	-0.162069249112992	0.256358826245453	-0.032748855998175	0.215882745611867	0.39678450570421
"FBgn0010431"	-0.148647113043527	-0.086955616893333	-0.379177652342249	0.658460152284825	0.908502096152931	0.722538774874559	0.655618242814537	0.00589902444920936	-0.380404938042815	0.15342144382475	-0.1675150981198	0.282809652100814	-0.415443945187648	-0.776731333887555	-0.866629658663011	-0.747236256781695
"FBgn0033439"	0.325955755618998	0.512041268623735	0.650812309086414	-0.511427556604842	-0.934707445293305	-0.969401546123306	-0.867375636807851	-0.43094566087154	0.00970080090085688	-0.508032460514329	-0.0359201033940221	-0.479855325949692	0.412066794580101	0.588177565633779	0.904022156949787	0.987203596416247
"FBgn0033438"	-0.0170091717858478	-0.183968740638776	0.0683844698114171	-0.905915408663832	-0.879522210070788	-0.571810701228691	-0.452852608050361	0.280577264815717	0.682472787299656	0.161741229639051	0.427863760147906	-0.0338145016052086	0.538137430826646	0.967063795347347	0.926173255763723	0.650479260619348
"FBgn0032082"	-0.18752039322167	0.182413992075391	-0.231163709855304	0.731877681151325	0.819196314923978	0.54048221085661	0.563696049255348	-0.27262064581368	-0.569966055410082	-0.0129585478288083	-0.142806075621176	0.284425223633449	-0.237262647129937	-0.874979627124927	-0.839951593085465	-0.60775965552448
"FBgn0040752"	-0.690784039815507	-0.824651240068948	-0.856097778453242	-0.479631551017591	0.157359303173674	0.573556620502666	0.685817814954455	0.858271020909827	0.821034801203223	0.954901844198753	0.730553142672143	0.758378214576849	0.289173261198415	0.380203510591394	-0.0636334299899335	-0.492864181236962
"FBgn0015553"	-0.278190768554065	-0.319943127024699	-0.569535854433817	0.592409766636997	0.96999040166567	0.894048913008488	0.825228734597989	0.225014934330085	-0.206738392383436	0.358979205257225	-0.04570474475108	0.43297530666036	-0.411380177590964	-0.726039472258602	-0.936676333337337	-0.913427746351351
"FBgn0015550"	0.32632811771559	0.765525840947792	0.726015570134451	-0.149807300882177	-0.67808479542262	-0.879752869493503	-0.793210098539062	-0.689394133308524	-0.329832973536304	-0.646461834935207	-0.213657066617045	-0.523807507765293	0.271911619905418	0.208482132079046	0.62375886741646	0.871324686109328
"FBgn0029174"	-0.033086531624641	-0.175242932987198	-0.292726016950555	0.812691197573055	0.97275994927466	0.813462591328825	0.611387826592895	0.0903453611149053	-0.403236671832046	0.105589556924754	-0.364452647857816	0.114300702399724	-0.672131849635519	-0.832369226422889	-0.973783495576432	-0.862079613076885
"FBgn0040754"	0.531611822576793	0.412852987207225	0.731127030793263	-0.397636026474452	-0.863919003061699	-0.888518132219227	-0.93048691155669	-0.328497229827966	-0.000628654966387098	-0.569565138288798	-0.25497722017933	-0.673489211492339	0.130052213236589	0.568428055178161	0.84075123685063	0.902440211279001
"FBgn0039294"	-0.00727842432186053	0.00171435903375569	0.182135511475186	-0.7499921290062	-0.81324728656142	-0.607869217211049	-0.49069240544699	0.0976327188868171	0.474800967215727	0.0294365866876578	0.295081292359214	-0.111212915545666	0.46930704030395	0.792851903023532	0.845616148378869	0.675501442628738
"FBgn0015558"	-0.0680414463187918	-0.163311659735592	0.0456731230892383	-0.919800911658606	-0.881395856623948	-0.573082294016005	-0.422698955435811	0.268791431943375	0.689891442839177	0.194583344390177	0.476999737660771	0.0171819816258866	0.59017986289759	0.966340201614596	0.933350386279183	0.659619873628357
"FBgn0040759"	0.352166497355161	0.946700622439009	0.725502780680046	0.195459851606473	-0.357163480359948	-0.718799585823728	-0.640887071927645	-0.893316537473589	-0.661346839295903	-0.767692768550042	-0.368263769995614	-0.504641926813956	0.114295044463911	-0.200163384391444	0.276901380301077	0.674741268660072
