"symbol","primary_FBgn","annotation_ID","pathway"
"Pi3K92E","FBgn0015279","CG4141","TOR"
"PIP4K","FBgn0039924","CG17471","TOR"
"aop","FBgn0000097","CG3166","TOR"
"slp1","FBgn0003430","CG16738","TOR"
"poly","FBgn0086371","CG9829","TOR"
"pont","FBgn0040078","CG4003","TOR"
"unk","FBgn0004395","CG4620","TOR"
"foxo","FBgn0038197","CG3143","TOR"
"bcd","FBgn0000166","CG1034","TOR"
"Lpin","FBgn0263593","CG8709","TOR"
"gcl","FBgn0005695","CG8411","TOR"
"fkh","FBgn0000659","CG10002","TOR"
"CG14812","FBgn0026090","CG14812","TOR"
"S","FBgn0003310","CG4385","TOR"
"Sesn","FBgn0034897","CG11299","TOR"
"grh","FBgn0259211","CG42311","TOR"
"raptor","FBgn0029840","CG4320","TOR"
"Iml1","FBgn0035227","CG12090","TOR"
"Myc","FBgn0262656","CG10798","TOR"
"Rap1","FBgn0004636","CG1956","TOR"
"TBC1d7","FBgn0039158","CG6182","TOR"
