"FBgn","ModID"
"FBgn0051612","grey"
"FBgn0262477","blue"
"FBgn0000464","grey"
"FBgn0028331","grey"
"FBgn0028336","skyblue"
"FBgn0034968","turquoise"
"FBgn0261553","blue"
"FBgn0261550","red"
"FBgn0261004","black"
"FBgn0261555","turquoise"
"FBgn0261554","turquoise"
"FBgn0029573","turquoise"
"FBgn0267923","red"
"FBgn0028864","turquoise"
"FBgn0028862","darkgrey"
"FBgn0259705","black"
"FBgn0034157","red"
"FBgn0028647","royalblue"
"FBgn0038467","grey"
"FBgn0038466","cyan"
"FBgn0035145","pink"
"FBgn0035144","turquoise"
"FBgn0038463","turquoise"
"FBgn0038462","greenyellow"
"FBgn0038461","greenyellow"
"FBgn0085397","blue"
"FBgn0038469","black"
"FBgn0024897","turquoise"
"FBgn0067779","grey"
"FBgn0034438","turquoise"
"FBgn0034439","turquoise"
"FBgn0031914","turquoise"
"FBgn0034436","grey"
"FBgn0034437","brown"
"FBgn0034430","black"
"FBgn0034432","grey"
"FBgn0034433","darkgrey"
"FBgn0038725","blue"
"FBgn0017581","blue"
"FBgn0038727","cyan"
"FBgn0038720","turquoise"
"FBgn0038721","turquoise"
"FBgn0038722","black"
"FBgn0038723","black"
"FBgn0035617","grey"
"FBgn0039500","turquoise"
"FBgn0052318","black"
"FBgn0036948","brown"
"FBgn0036949","cyan"
"FBgn0019637","black"
"FBgn0036945","brown"
"FBgn0019985","red"
"FBgn0052313","black"
"FBgn0063670","tan"
"FBgn0010808","turquoise"
"FBgn0036702","grey"
"FBgn0010803","black"
"FBgn0031550","blue"
"FBgn0263774","blue"
"FBgn0031623","black"
"FBgn0031621","brown"
"FBgn0031627","blue"
"FBgn0262476","blue"
"FBgn0031628","red"
"FBgn0035610","turquoise"
"FBgn0032023","blue"
"FBgn0032476","black"
"FBgn0038095","cyan"
"FBgn0038092","blue"
"FBgn0039354","darkgrey"
"FBgn0038098","brown"
"FBgn0038099","black"
"FBgn0039355","black"
"FBgn0265276","blue"
"FBgn0265274","turquoise"
"FBgn0031450","darkgrey"
"FBgn0032472","turquoise"
"FBgn0031321","black"
"FBgn0264002","turquoise"
"FBgn0004842","turquoise"
"FBgn0264000","red"
"FBgn0264001","blue"
"FBgn0264006","blue"
"FBgn0032470","turquoise"
"FBgn0085753","blue"
"FBgn0264005","blue"
"FBgn0263855","black"
"FBgn0031327","turquoise"
"FBgn0262685","turquoise"
"FBgn0040385","cyan"
"FBgn0040384","grey"
"FBgn0036031","blue"
"FBgn0034137","cyan"
"FBgn0040383","turquoise"
"FBgn0040382","blue"
"FBgn0051207","turquoise"
"FBgn0051205","turquoise"
"FBgn0040389","lightgreen"
"FBgn0040388","black"
"FBgn0051752","turquoise"
"FBgn0051201","turquoise"
"FBgn0037163","blue"
"FBgn0026592","blue"
"FBgn0026593","turquoise"
"FBgn0037167","turquoise"
"FBgn0030398","red"
"FBgn0037165","turquoise"
"FBgn0026597","pink"
"FBgn0026598","black"
"FBgn0030394","white"
"FBgn0030396","darkturquoise"
"FBgn0030391","black"
"FBgn0030390","turquoise"
"FBgn0025865","grey"
"FBgn0025864","royalblue"
"FBgn0037176","brown"
"FBgn0025866","pink"
"FBgn0037536","red"
"FBgn0033005","pink"
"FBgn0016983","black"
"FBgn0016984","black"
"FBgn0036118","grey"
"FBgn0033842","black"
"FBgn0033844","brown"
"FBgn0033845","black"
"FBgn0033846","black"
"FBgn0039415","turquoise"
"FBgn0036520","turquoise"
"FBgn0266212","brown"
"FBgn0039411","turquoise"
"FBgn0039413","turquoise"
"FBgn0266243","blue"
"FBgn0030321","black"
"FBgn0051716","royalblue"
"FBgn0037114","brown"
"FBgn0265661","turquoise"
"FBgn0265660","turquoise"
"FBgn0265663","grey"
"FBgn0265665","red"
"FBgn0265669","black"
"FBgn0037709","turquoise"
"FBgn0037708","blue"
"FBgn0037446","black"
"FBgn0037031","salmon"
