"FBgn","ModID"
"FBgn0010620","darkgreen"
"FBgn0031256","cyan"
"FBgn0000228","darkgreen"
"FBgn0259178","darkgrey"
"FBgn0033252","darkgreen"
"FBgn0038020","brown"
"FBgn0002887","black"
"FBgn0036043","darkgreen"
"FBgn0034113","pink"
"FBgn0014391","darkred"
"FBgn0031820","lightcyan"
"FBgn0032348","royalblue"
"FBgn0039531","darkgrey"
"FBgn0039167","lightcyan"
"FBgn0028579","darkgreen"
"FBgn0267814","turquoise"
"FBgn0031061","darkgrey"
"FBgn0034674","royalblue"
"FBgn0030447","brown"
"FBgn0015477","lightcyan"
"FBgn0040850","cyan"
"FBgn0039697","turquoise"
"FBgn0030912","red"
"FBgn0000077","black"
"FBgn0000071","brown"
"FBgn0085443","royalblue"
"FBgn0085442","darkgreen"
"FBgn0033932","blue"
"FBgn0033935","black"
"FBgn0038583","salmon"
"FBgn0052767","pink"
"FBgn0010531","brown"
"FBgn0033972","brown"
"FBgn0032407","cyan"
"FBgn0042693","darkgrey"
"FBgn0030584","darkred"
"FBgn0000247","darkgreen"
"FBgn0259193","blue"
"FBgn0001404","steelblue"
"FBgn0039835","greenyellow"
"FBgn0030055","blue"
"FBgn0033236","pink"
"FBgn0034248","turquoise"
"FBgn0034240","darkgreen"
"FBgn0034245","darkred"
"FBgn0040336","darkturquoise"
"FBgn0032986","blue"
"FBgn0036512","lightyellow"
"FBgn0033312","darkgreen"
"FBgn0040064","cyan"
"FBgn0032363","lightcyan"
"FBgn0086659","red"
"FBgn0033609","darkgrey"
"FBgn0003205","tan"
"FBgn0259718","tan"
"FBgn0035323","lightyellow"
"FBgn0052260","blue"
"FBgn0031519","greenyellow"
"FBgn0036897","royalblue"
"FBgn0045800","darkgrey"
"FBgn0267762","turquoise"
"FBgn0026262","darkgreen"
"FBgn0000581","pink"
"FBgn0082922","cyan"
"FBgn0037218","darkgreen"
"FBgn0033915","darkgreen"
"FBgn0037602","darkred"
"FBgn0262115","lightcyan"
"FBgn0035515","cyan"
"FBgn0036300","cyan"
"FBgn0036305","darkgrey"
"FBgn0052230","cyan"
"FBgn0005640","royalblue"
"FBgn0264711","cyan"
"FBgn0032793","cyan"
"FBgn0262389","blue"
"FBgn0034405","cyan"
"FBgn0032429","tan"
"FBgn0086357","cyan"
"FBgn0031213","blue"
"FBgn0041188","darkgreen"
"FBgn0044323","darkgreen"
"FBgn0011016","cyan"
"FBgn0015808","cyan"
"FBgn0029878","darkgrey"
"FBgn0034269","pink"
"FBgn0037683","brown"
"FBgn0025741","lightcyan"
"FBgn0053094","blue"
"FBgn0030869","pink"
"FBgn0037873","cyan"
"FBgn0266813","cyan"
"FBgn0261845","darkgreen"
"FBgn0025186","pink"
"FBgn0031023","red"
"FBgn0026063","turquoise"
"FBgn0052264","darkgrey"
"FBgn0051510","darkgreen"
"FBgn0030435","turquoise"
"FBgn0031536","pink"
"FBgn0030773","blue"
"FBgn0030955","darkturquoise"
"FBgn0283438","red"
"FBgn0027558","tan"
"FBgn0050020","pink"
"FBgn0266159","cyan"
"FBgn0263289","blue"
"FBgn0011739","royalblue"
"FBgn0038816","darkgrey"
"FBgn0038811","greenyellow"
"FBgn0036323","darkturquoise"
"FBgn0021895","salmon"
"FBgn0000108","blue"
"FBgn0032445","greenyellow"
"FBgn0086372","darkgrey"
"FBgn0086371","greenyellow"
"FBgn0035793","blue"
"FBgn0259223","turquoise"
"FBgn0003016","royalblue"
"FBgn0039025","darkgreen"
"FBgn0039026","blue"
"FBgn0035065","lightyellow"
"FBgn0039790","darkgrey"
"FBgn0029890","cyan"
"FBgn0261610","darkgrey"
"FBgn0036911","darkgrey"
"FBgn0036203","turquoise"
"FBgn0027948","pink"
"FBgn0030759","lightyellow"
"FBgn0032612","turquoise"
"FBgn0035155","darkgrey"
"FBgn0263346","blue"
"FBgn0033639","darkgreen"
"FBgn0033636","darkgrey"
"FBgn0261823","darkgreen"
"FBgn0003716","steelblue"
"FBgn0037074","blue"
"FBgn0031106","black"
"FBgn0034071","blue"
"FBgn0037251","skyblue"
"FBgn0037252","pink"
"FBgn0030208","black"
"FBgn0266582","cyan"
"FBgn0027574","salmon"
"FBgn0038183","brown"
"FBgn0051390","black"
"FBgn0033401","darkturquoise"
"FBgn0033403","blue"
"FBgn0250820","brown"
"FBgn0036340","black"
"FBgn0031047","salmon"
"FBgn0051935","darkgreen"
"FBgn0039240","salmon"
"FBgn0032524","lightyellow"
"FBgn0264751","darkred"
"FBgn0035802","blue"
"FBgn0032465","lightyellow"
"FBgn0262699","darkgreen"
"FBgn0042185","pink"
"FBgn0022023","greenyellow"
"FBgn0038755","darkgrey"
"FBgn0030695","darkturquoise"
"FBgn0039831","salmon"
"FBgn0040359","salmon"
"FBgn0033989","tan"
"FBgn0037758","darkgrey"
"FBgn0265630","darkgrey"
"FBgn0037755","tan"
"FBgn0036593","cyan"
"FBgn0032876","pink"
"FBgn0032691","pink"
"FBgn0031426","turquoise"
"FBgn0003862","darkgreen"
"FBgn0263772","darkgrey"
"FBgn0259722","cyan"
"FBgn0259720","cyan"
"FBgn0034057","brown"
"FBgn0265757","red"
"FBgn0266657","lightgreen"
"FBgn0033428","brown"
"FBgn0036362","turquoise"
"FBgn0051915","darkgrey"
"FBgn0034626","royalblue"
"FBgn0023518","royalblue"
"FBgn0053182","royalblue"
"FBgn0003502","lightcyan"
"FBgn0035285","blue"
"FBgn0037142","darkgrey"
"FBgn0036958","darkgrey"
"FBgn0032901","darkgreen"
"FBgn0035270","darkgrey"
"FBgn0037197","cyan"
"FBgn0032817","darkgreen"
"FBgn0004509","darkgreen"
"FBgn0035639","greenyellow"
"FBgn0002593","turquoise"
"FBgn0266744","darkgreen"
"FBgn0037949","darkgreen"
"FBgn0037944","darkgreen"
"FBgn0259708","cyan"
"FBgn0039633","darkgreen"
"FBgn0038828","darkgrey"
"FBgn0003008","tan"
"FBgn0029976","salmon"
"FBgn0030641","turquoise"
"FBgn0050373","turquoise"
"FBgn0050372","pink"
"FBgn0085242","black"
"FBgn0036165","darkgrey"
"FBgn0040253","turquoise"
"FBgn0035588","cyan"
"FBgn0040257","turquoise"
"FBgn0038271","darkred"
"FBgn0014906","royalblue"
"FBgn0030863","pink"
"FBgn0083167","turquoise"
"FBgn0032717","darkgreen"
"FBgn0023530","cyan"
"FBgn0033677","darkgrey"
"FBgn0260464","skyblue"
"FBgn0036249","royalblue"
"FBgn0035722","brown"
"FBgn0028342","darkred"
"FBgn0020379","darkgrey"
"FBgn0034158","darkgreen"
"FBgn0019624","cyan"
"FBgn0030006","darkred"
"FBgn0010215","darkgreen"
"FBgn0260936","pink"
"FBgn0031092","cyan"
"FBgn0000330","black"
"FBgn0031777","lightyellow"
"FBgn0011290","salmon"
"FBgn0039402","brown"
"FBgn0040397","lightcyan"
"FBgn0050410","greenyellow"
"FBgn0267057","darkgrey"
"FBgn0263852","cyan"
"FBgn0020616","pink"
"FBgn0028426","blue"
"FBgn0028421","darkgrey"
"FBgn0004185","brown"
"FBgn0053510","turquoise"
"FBgn0035388","black"
"FBgn0039244","darkgreen"
"FBgn0260008","darkred"
"FBgn0261988","darkgrey"
"FBgn0037926","pink"
"FBgn0037921","salmon"
"FBgn0263667","black"
"FBgn0011604","black"
"FBgn0027885","darkgreen"
"FBgn0029958","black"
"FBgn0266521","pink"
"FBgn0029957","salmon"
"FBgn0027086","pink"
"FBgn0034368","brown"
"FBgn0267698","salmon"
"FBgn0030243","red"
"FBgn0029006","darkgreen"
"FBgn0085260","pink"
"FBgn0032512","darkgrey"
"FBgn0026376","darkgrey"
"FBgn0052816","pink"
"FBgn0267972","cyan"
"FBgn0263584","darkgrey"
"FBgn0035830","black"
"FBgn0261698","darkgrey"
"FBgn0033817","darkgrey"
"FBgn0033995","pink"
"FBgn0033812","darkturquoise"
"FBgn0034829","turquoise"
"FBgn0038339","cyan"
"FBgn0026778","royalblue"
"FBgn0035415","black"
"FBgn0031419","pink"
"FBgn0033100","lightyellow"
"FBgn0033408","blue"
"FBgn0025383","turquoise"
"FBgn0036991","pink"
"FBgn0058439","tan"
"FBgn0029712","darkgrey"
"FBgn0086707","black"
"FBgn0086254","cyan"
"FBgn0259749","brown"
"FBgn0259742","lightcyan"
"FBgn0046114","darkgrey"
"FBgn0020235","cyan"
"FBgn0016672","darkgrey"
"FBgn0027866","darkgrey"
"FBgn0031885","darkgrey"
"FBgn0050280","brown"
"FBgn0015278","lightcyan"
"FBgn0038100","darkgreen"
"FBgn0026402","black"
"FBgn0026401","lightcyan"
"FBgn0085284","skyblue"
"FBgn0082831","pink"
"FBgn0032752","salmon"
"FBgn0086069","darkgreen"
"FBgn0032247","brown"
"FBgn0032430","greenyellow"
"FBgn0053169","turquoise"
"FBgn0011817","lightcyan"
"FBgn0036566","darkgreen"
"FBgn0029529","darkred"
"FBgn0019957","turquoise"
"FBgn0052436","lightcyan"
"FBgn0028926","skyblue"
"FBgn0261508","turquoise"
"FBgn0261503","turquoise"
"FBgn0259234","darkgreen"
"FBgn0037130","blue"
"FBgn0025839","cyan"
"FBgn0033836","pink"
"FBgn0039466","pink"
"FBgn0039441","cyan"
"FBgn0031696","pink"
"FBgn0014020","turquoise"
"FBgn0002121","black"
"FBgn0266088","greenyellow"
"FBgn0266777","blue"
"FBgn0050108","brown"
"FBgn0050101","darkgrey"
"FBgn0027291","cyan"
"FBgn0261885","royalblue"
"FBgn0033699","darkred"
"FBgn0035741","blue"
"FBgn0043884","darkgreen"
"FBgn0085220","cyan"
"FBgn0029088","royalblue"
"FBgn0003371","red"
"FBgn0035032","darkred"
"FBgn0051992","darkgrey"
"FBgn0030806","pink"
"FBgn0032779","turquoise"
"FBgn0027335","pink"
"FBgn0003963","pink"
"FBgn0024734","blue"
"FBgn0035046","cyan"
"FBgn0038499","blue"
"FBgn0038943","greenyellow"
"FBgn0015239","red"
"FBgn0010877","pink"
"FBgn0010303","royalblue"
"FBgn0037445","blue"
"FBgn0037110","turquoise"
"FBgn0030329","brown"
"FBgn0261387","salmon"
"FBgn0004581","cyan"
"FBgn0050401","salmon"
"FBgn0051869","salmon"
"FBgn0266717","darkgreen"
"FBgn0004587","darkgrey"
"FBgn0263835","blue"
"FBgn0036242","turquoise"
"FBgn0033973","blue"
"FBgn0034861","cyan"
"FBgn0038376","darkturquoise"
"FBgn0045866","darkred"
"FBgn0262125","darkred"
"FBgn0037093","pink"
"FBgn0039959","darkgreen"
"FBgn0041205","brown"
"FBgn0003391","darkgreen"
"FBgn0022344","brown"
"FBgn0022349","black"
"FBgn0020277","blue"
"FBgn0037116","red"
"FBgn0052176","pink"
"FBgn0267632","blue"
"FBgn0026441","pink"
"FBgn0024251","royalblue"
"FBgn0039767","black"
"FBgn0264951","blue"
"FBgn0037659","darkgrey"
"FBgn0041781","tan"
"FBgn0250868","brown"
"FBgn0052654","royalblue"
"FBgn0035769","salmon"
"FBgn0264267","cyan"
"FBgn0032702","darkgreen"
"FBgn0283439","blue"
"FBgn0011211","turquoise"
"FBgn0016930","darkgrey"
"FBgn0014133","tan"
"FBgn0263977","grey"
"FBgn0266739","skyblue"
"FBgn0038682","turquoise"
"FBgn0037466","darkgrey"
"FBgn0036226","turquoise"
"FBgn0040575","darkred"
"FBgn0052423","darkgreen"
"FBgn0008635","cyan"
"FBgn0038612","black"
"FBgn0035073","pink"
"FBgn0054044","turquoise"
"FBgn0043069","greenyellow"
"FBgn0031881","cyan"
"FBgn0004390","royalblue"
"FBgn0263974","black"
"FBgn0004647","darkgreen"
"FBgn0013303","red"
"FBgn0037128","brown"
"FBgn0052676","pink"
"FBgn0037120","darkgreen"
"FBgn0032668","turquoise"
