"feature","id","pval","qval","tname"
"gene","MSTRG.803",0.000284231933045609,0.0197773746866463,"FBtr0079221"
"gene","MSTRG.4724",0.000297946197369447,0.0203075896941169,"FBtr0299945"
"gene","MSTRG.667",0.000298660676201767,0.0203075896941169,"FBtr0345335"
"gene","MSTRG.11388",0.000301646326689053,0.0203075896941169,"FBtr0302527"
"gene","MSTRG.11507",0.000304738335735966,0.0203075896941169,"FBtr0085473"
"gene","MSTRG.5752",0.000305117953334655,0.0203075896941169,"FBtr0072625"
"gene","MSTRG.5588",0.00031242848501567,0.0205306382129839,"FBtr0072443"
"gene","MSTRG.1458",0.000313833900041693,0.0205306382129839,"FBtr0080108"
"gene","MSTRG.11144",0.000316645742987065,0.020539038278161,"FBtr0309041"
"gene","MSTRG.402",0.000320647498535997,0.0206238315444918,"FBtr0077694"
"gene","MSTRG.10461",0.000354276070284154,0.0225969086829576,"FBtr0083991"
"gene","MSTRG.12779",0.000361956100421779,0.0226644442235724,"FBtr0071242"
"gene","MSTRG.1806",0.00036296538550773,0.0226644442235724,"FBtr0342712"
"gene","MSTRG.6056",0.00036421827012012,0.0226644442235724,"FBtr0073060"
"gene","MSTRG.4844",0.000373876176172683,0.0228332681569881,"FBtr0086340"
"gene","MSTRG.9046",0.000376658964676979,0.0228332681569881,"FBtr0305337"
"gene","MSTRG.11055",0.000377662180057303,0.0228332681569881,"FBtr0304692"
"gene","MSTRG.1043",0.000380075611877917,0.0228332681569881,"MSTRG.1043.2"
"gene","MSTRG.10010",0.00038184718109413,0.0228332681569881,"FBtr0083324"
"gene","MSTRG.12148",0.000386393413649655,0.0229260092098795,"FBtr0310443"
"gene","MSTRG.6533",0.000398693991234156,0.0231401573462848,"FBtr0076807"
"gene","MSTRG.13225",0.00039965982828416,0.0231401573462848,"FBtr0305591"
"gene","MSTRG.263",0.000401082533709962,0.0231401573462848,"FBtr0307056"
"gene","MSTRG.10194",0.000406698747756451,0.0231401573462848,"FBtr0083616"
"gene","MSTRG.5654",0.000407099830062485,0.0231401573462848,"FBtr0332107"
"gene","MSTRG.3321",0.000408142310131754,0.0231401573462848,"FBtr0344469"
"gene","MSTRG.11770",0.000411939865550881,0.0231837333156356,"FBtr0085845"
"gene","MSTRG.7092",0.000421344836173065,0.0234113355328971,"FBtr0333357"
"gene","MSTRG.2996",0.000422101424554455,0.0234113355328971,"FBtr0089023"
"gene","MSTRG.6290",0.00042790011953886,0.0234668887427781,"FBtr0306086"
"gene","MSTRG.7866",0.000432044314008451,0.0234668887427781,"FBtr0345147"
"gene","MSTRG.13501",0.000435042016851961,0.0234668887427781,"FBtr0310395"
"gene","MSTRG.3146",0.000435671576429764,0.0234668887427781,"MSTRG.3146.1"
"gene","MSTRG.12504",0.00044759931063898,0.0234668887427781,"FBtr0290235"
"gene","MSTRG.11594",0.000448219051503829,0.0234668887427781,"FBtr0089747"
"gene","MSTRG.4390",0.00045168345993496,0.0234668887427781,"MSTRG.4390.1"
"gene","MSTRG.12068",0.000452462423307542,0.0234668887427781,"FBtr0070211"
"gene","MSTRG.3969",0.00045507644380427,0.0234668887427781,"MSTRG.3969.1"
"gene","MSTRG.348",0.000456621561453652,0.0234668887427781,"FBtr0331650"
"gene","MSTRG.542",0.000462234806001049,0.0234668887427781,"FBtr0077549"
"gene","MSTRG.8110",0.000463137284437143,0.0234668887427781,"FBtr0307160"
"gene","MSTRG.313",0.00046547371604988,0.0234668887427781,"FBtr0077869"
"gene","MSTRG.406",0.000466026533695096,0.0234668887427781,"FBtr0077705"
"gene","MSTRG.4454",0.000469523661997928,0.0234884582283147,"MSTRG.4454.2"
"gene","MSTRG.13291",0.000473392632770575,0.0235282286443246,"FBtr0310431"
"gene","MSTRG.11410",0.000478571647067993,0.0236321766881189,"FBtr0085329"
"gene","MSTRG.3416",0.000484526961597953,0.023772880538915,"FBtr0088490"
"gene","MSTRG.4064",0.000488721350446308,0.0238259440529684,"MSTRG.4064.1"
"gene","MSTRG.8172",0.000504150258819891,0.0243550301749265,"FBtr0078377"
"gene","MSTRG.2486",0.000505938045180732,0.0243550301749265,"FBtr0110944"
"gene","MSTRG.3411",0.000514424139799186,0.0246087647876435,"FBtr0339403"
"gene","MSTRG.5751",0.000519196925772292,0.0246828153407523,"FBtr0072637"
"gene","MSTRG.12600",0.000529493724523489,0.0250169442438443,"FBtr0070956"
"gene","MSTRG.5274",0.000545235735129657,0.0256026645195239,"FBtr0071985"
