"geneNames","geneIDs","feature","id","pval","qval"
"FBtr0071519","MSTRG.4949","transcript","16940",9.36946585224918e-05,0.051096657597766
"FBtr0079782","MSTRG.1208","transcript","4026",9.77688272064681e-05,0.0517951312589237
"FBtr0086609","MSTRG.4723","transcript","15932",0.000122076895161971,0.0628763830581463
"FBtr0083866","MSTRG.10401","transcript","34778",0.000134659746863663,0.0663573046680955
"FBtr0339164","MSTRG.10713","transcript","35986",0.000135992750371461,0.0663573046680955
"FBtr0074364","MSTRG.13626","transcript","47040",0.000144837991436164,0.0688611804412655
"FBtr0075516","MSTRG.7457","transcript","25223",0.00015111814156743,0.0700508145235822
"FBtr0073270","MSTRG.6149","transcript","20900",0.000157739569184079,0.0703959577984314
"FBtr0079163","MSTRG.767","transcript","2483",0.000159455842278833,0.0703959577984314
"FBtr0081173","MSTRG.2241","transcript","7485",0.000171595838303062,0.0731742787716268
"FBtr0079534","MSTRG.1050","transcript","3496",0.000173641908421507,0.0731742787716268
"MSTRG.11047.4","MSTRG.11047","transcript","37044",0.00017826141869659,0.0734148347067598
"FBtr0082245","MSTRG.9275","transcript","31057",0.000184221390842731,0.0734148347067598
"FBtr0299828","MSTRG.3497","transcript","11754",0.000194934932532864,0.0734148347067598
"FBtr0076001","MSTRG.7085","transcript","24051",0.000195666473370659,0.0734148347067598
"FBtr0083697","MSTRG.10274","transcript","34370",0.000197175730640264,0.0734148347067598
"FBtr0086635","MSTRG.4730","transcript","15959",0.000197969028979506,0.0734148347067598
"FBtr0089607","MSTRG.11103","transcript","37150",0.000203510930552486,0.0739901896922392
"FBtr0343155","MSTRG.869","transcript","2808",0.000219153063639954,0.0776475575765366
"MSTRG.454.8","MSTRG.454","transcript","1336",0.00022624338624877,0.0776475575765366
"FBtr0306105","MSTRG.10976","transcript","36874",0.000233966629831439,0.0776475575765366
"FBtr0075408","MSTRG.7549","transcript","25513",0.000234042237836518,0.0776475575765366
"FBtr0072912","MSTRG.5920","transcript","20077",0.000234508856880922,0.0776475575765366
"FBtr0089877","MSTRG.3873","transcript","12912",0.000240879849045528,0.0778789842692133
"FBtr0331588","MSTRG.13145","transcript","45002",0.000243608083681068,0.0778789842692133
"FBtr0114537","MSTRG.7524","transcript","25456",0.000255570119530923,0.0803183246837692
"FBtr0079265","MSTRG.862","transcript","2798",0.000271261412701174,0.0838288185717527
"FBtr0071236","MSTRG.12796","transcript","43635",0.000279709390932803,0.0850224840438694
"FBtr0083378","MSTRG.10063","transcript","33667",0.000286143040259867,0.0855752298790075
"FBtr0331410","MSTRG.12162","transcript","41485",0.000293218519171745,0.0862993298806746
"FBtr0300127","MSTRG.4137","transcript","13886",0.000303753778927662,0.0880031651386987
"FBtr0331931","MSTRG.2053","transcript","6810",0.000317861414103282,0.0906736360046624
"FBtr0084102","MSTRG.10540","transcript","35286",0.000327744679903264,0.0908110289563134
"FBtr0299796","MSTRG.253","transcript","684",0.000333424774155211,0.0908110289563134
"FBtr0077179","MSTRG.6276","transcript","21252",0.000337517355546435,0.0908110289563134
"FBtr0070597","MSTRG.12315","transcript","42040",0.000340759100173504,0.0908110289563134
"FBtr0080539","MSTRG.1801","transcript","5956",0.00034392088892421,0.0908110289563134
"FBtr0084289","MSTRG.10658","transcript","35793",0.000348766417040292,0.0908110289563134
"MSTRG.11540.1","MSTRG.11540","transcript","38686",0.000358015427709635,0.0908110289563134
"MSTRG.9957.4","MSTRG.9957","transcript","33222",0.000361863276058916,0.0908110289563134
"MSTRG.7524.1","MSTRG.7524","transcript","25457",0.000364163178049992,0.0908110289563134
"FBtr0078471","MSTRG.8222","transcript","27601",0.000370750949105103,0.0908110289563134
"FBtr0070239","MSTRG.12061","transcript","41056",0.000372361827811529,0.0908110289563134
"FBtr0071745","MSTRG.5096","transcript","17396",0.000381876124792013,0.0908110289563134
"FBtr0077942","MSTRG.268","transcript","707",0.000382011663175086,0.0908110289563134
"FBtr0083361","MSTRG.10038","transcript","33563",0.000389692437847144,0.0913488429906639
"FBtr0080108","MSTRG.1458","transcript","4824",0.000394127248368736,0.0913488429906639
"MSTRG.13286.2","MSTRG.13286","transcript","45523",0.000403077098594995,0.091399010038649
"FBtr0073076","MSTRG.6075","transcript","20641",0.000404202287950017,0.091399010038649
"FBtr0071541","MSTRG.4975","transcript","17018",0.000410916252549409,0.0917977006598933
"FBtr0342712","MSTRG.1806","transcript","5964",0.000420338566678558,0.0927847345637359
"FBtr0077631","MSTRG.440","transcript","1276",0.000437657041667872,0.0954307735649175
"FBtr0074821","MSTRG.7970","transcript","26795",0.000442619271199596,0.0954307735649175
"FBtr0334836","MSTRG.974","transcript","3222",0.000453529650826123,0.0955928443606923
"FBtr0083850","MSTRG.10380","transcript","34728",0.000453681927717664,0.0955928443606923
"FBtr0087120","MSTRG.4364","transcript","14708",0.000459667686974141,0.09576582305477
