GO_cat,aging
det_adul_life,FBgn0025352
det_adul_life,FBgn0025800
det_adul_life,FBgn0026317
det_adul_life,FBgn0026404
det_adul_life,FBgn0026439
det_adul_life,FBgn0027111
det_adul_life,FBgn0027491
det_adul_life,FBgn0027492
det_adul_life,FBgn0027779
det_adul_life,FBgn0028479
det_adul_life,FBgn0028707
det_adul_life,FBgn0028956
det_adul_life,FBgn0029002
det_adul_life,FBgn0029840
det_adul_life,FBgn0029856
det_adul_life,FBgn0029976
det_adul_life,FBgn0030057
det_adul_life,FBgn0030092
det_adul_life,FBgn0030350
det_adul_life,FBgn0030501
det_adul_life,FBgn0030695
det_adul_life,FBgn0030718
det_adul_life,FBgn0030766
det_adul_life,FBgn0031148
det_adul_life,FBgn0031263
det_adul_life,FBgn0031461
det_adul_life,FBgn0031820
det_adul_life,FBgn0031885
det_adul_life,FBgn0032210
det_adul_life,FBgn0032699
det_adul_life,FBgn0032840
det_adul_life,FBgn0033096
det_adul_life,FBgn0033127
det_adul_life,FBgn0033448
det_adul_life,FBgn0033799
det_adul_life,FBgn0033846
det_adul_life,FBgn0034009
det_adul_life,FBgn0034219
det_adul_life,FBgn0034312
det_adul_life,FBgn0034366
det_adul_life,FBgn0034521
det_adul_life,FBgn0034877
det_adul_life,FBgn0035131
det_adul_life,FBgn0035132
det_adul_life,FBgn0035468
det_adul_life,FBgn0035623
det_adul_life,FBgn0035789
det_adul_life,FBgn0035847
det_adul_life,FBgn0035977
det_adul_life,FBgn0036046
det_adul_life,FBgn0036191
det_adul_life,FBgn0036568
det_adul_life,FBgn0036756
det_adul_life,FBgn0036816
det_adul_life,FBgn0037574
det_adul_life,FBgn0037802
det_adul_life,FBgn0037873
det_adul_life,FBgn0037960
det_adul_life,FBgn0038074
det_adul_life,FBgn0038167
det_adul_life,FBgn0038197
det_adul_life,FBgn0038519
det_adul_life,FBgn0038570
det_adul_life,FBgn0038788
det_adul_life,FBgn0038880
det_adul_life,FBgn0039044
det_adul_life,FBgn0039576
det_adul_life,FBgn0040070
det_adul_life,FBgn0040294
det_adul_life,FBgn0040309
det_adul_life,FBgn0041342
det_adul_life,FBgn0042132
det_adul_life,FBgn0043792
det_adul_life,FBgn0045442
det_adul_life,FBgn0045443
det_adul_life,FBgn0051148
det_adul_life,FBgn0051216
det_adul_life,FBgn0051414
det_adul_life,FBgn0052475
det_adul_life,FBgn0052672
det_adul_life,FBgn0053126
det_adul_life,FBgn0053138
det_adul_life,FBgn0083087
det_adul_life,FBgn0086355
det_adul_life,FBgn0086361
det_adul_life,FBgn0243512
det_adul_life,FBgn0259170
det_adul_life,FBgn0259176
det_adul_life,FBgn0260466
det_adul_life,FBgn0261545
