"","Var1","Freq"
"756","FBgn0036177",1
"757","FBgn0036181",1
"758","FBgn0036226",1
"759","FBgn0036227",1
"760","FBgn0036228",1
"761","FBgn0036229",1
"762","FBgn0036230",2
"763","FBgn0036246",1
"764","FBgn0036250",1
"765","FBgn0036310",1
"766","FBgn0036311",2
"767","FBgn0036325",1
"768","FBgn0036327",1
"769","FBgn0036328",1
"770","FBgn0036329",1
"771","FBgn0036343",1
"772","FBgn0036345",1
"773","FBgn0036346",1
"774","FBgn0036414",2
"775","FBgn0036421",2
"776","FBgn0036459",1
"777","FBgn0036490",1
"778","FBgn0036491",1
"779","FBgn0036492",1
"780","FBgn0036495",1
"781","FBgn0036496",2
"782","FBgn0036497",1
"783","FBgn0036527",1
"784","FBgn0036528",1
"785","FBgn0036531",1
"786","FBgn0036568",1
"787","FBgn0036577",1
"788","FBgn0036586",1
"789","FBgn0036590",1
"790","FBgn0036591",1
"791","FBgn0036593",2
"792","FBgn0036595",1
"793","FBgn0036596",1
"794","FBgn0036598",1
"795","FBgn0036602",1
"796","FBgn0036603",1
"797","FBgn0036608",2
"798","FBgn0036609",1
"799","FBgn0036610",1
"800","FBgn0036676",1
"801","FBgn0036677",2
"802","FBgn0036678",10
"803","FBgn0036687",1
"804","FBgn0036703",1
"805","FBgn0036706",1
"806","FBgn0036707",1
"807","FBgn0036708",1
"808","FBgn0036709",1
"809","FBgn0036711",1
"810","FBgn0036712",2
"811","FBgn0036781",1
"812","FBgn0036782",1
"813","FBgn0036784",1
"814","FBgn0036785",4
"815","FBgn0036807",1
"816","FBgn0036808",3
"817","FBgn0036809",1
"818","FBgn0036860",1
"819","FBgn0036861",1
"820","FBgn0036878",1
"821","FBgn0036879",1
"822","FBgn0036880",2
"823","FBgn0036923",1
"824","FBgn0036924",1
"825","FBgn0036936",1
"826","FBgn0036949",2
"827","FBgn0036950",2
"828","FBgn0036969",1
"829","FBgn0036977",2
"830","FBgn0036985",1
"831","FBgn0037023",1
"832","FBgn0037036",1
"833","FBgn0037037",2
"834","FBgn0037038",1
"835","FBgn0037039",3
"836","FBgn0037040",5
"837","FBgn0037059",1
"838","FBgn0037067",1
"839","FBgn0037086",1
"840","FBgn0037099",1
"841","FBgn0037101",1
"842","FBgn0037128",1
"843","FBgn0037139",1
"844","FBgn0037147",1
"845","FBgn0037171",3
"846","FBgn0037172",1
"847","FBgn0037175",1
